	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status
0	4625__CONTROL_SNP_INDIV	33.8633002456463	5.91235175145143e-09	1.09128369443136e-06	1.0	101.0	5.0	4.0	0.478453374925765	4625	sequence	CONTROL_SNP_INDIV	significant effect
1	4621__CONTROL_SNP_INDIV	0.663435351694716	0.415349748384697	0.6729451190068071	1.0	101.0	5.0	4.0	0.123627941579556	4621	sequence	CONTROL_SNP_INDIV	no effect
2	4627__CONTROL_SNP_INDIV	12.3474269213293	0.000441594696088475	0.0117588718536202	1.0	101.0	5.0	4.0	0.46204448488435707	4627	sequence	CONTROL_SNP_INDIV	significant effect
3	4620__CONTROL_SNP_INDIV	13.599652647581001	0.000226227381025821	0.00729299548127506	1.0	101.0	5.0	4.0	0.499346258337865	4620	sequence	CONTROL_SNP_INDIV	significant effect
4	4634__CONTROL_SNP_INDIV	0.4696179279212629	0.493162992081284	0.733857115968397	1.0	39.0	5.0	4.0	-0.359943832829872	4634	sequence	CONTROL_SNP_INDIV	no effect
5	4623__CONTROL_SNP_INDIV	0.511178136732269	0.474629294002794	0.7180788089279341	1.0	101.0	5.0	4.0	0.0704191116426901	4623	sequence	CONTROL_SNP_INDIV	no effect
6	4636__CONTROL_SNP_INDIV	0.526317137051592	0.46815934027761297	0.7130106867636509	1.0	101.0	5.0	4.0	0.066247075504427	4636	sequence	CONTROL_SNP_INDIV	no effect
7	4630__CONTROL_SNP_INDIV	4.72968932904587	0.0296462397194551	0.15949809911845902	1.0	101.0	5.0	4.0	-0.19532796690080198	4630	sequence	CONTROL_SNP_INDIV	no effect
8	4629__CONTROL_SNP_INDIV	-0.00128158528787026	1.0	1.0	1.0	101.0	5.0	4.0	-0.00197535724869326	4629	sequence	CONTROL_SNP_INDIV	no effect
9	4628__CONTROL_SNP_INDIV	40.475339423956	1.99113334359032e-10	4.77772445794497e-08	1.0	100.0	5.0	4.0	0.618797573640346	4628	sequence	CONTROL_SNP_INDIV	significant effect
10	4622__CONTROL_SNP_INDIV	0.303527170788584	0.5816796044124329	0.7903546130151009	1.0	101.0	5.0	4.0	0.0683656388032293	4622	sequence	CONTROL_SNP_INDIV	no effect
11	4632__CONTROL_SNP_INDIV	4.69471507800745	0.0302555148513606	0.16079315146365397	1.0	50.0	5.0	4.0	-1.00285967187593	4632	sequence	CONTROL_SNP_INDIV	no effect
12	4624__CONTROL_SNP_INDIV	1.5931533853636202	0.206876180981417	0.47625502399420394	1.0	101.0	5.0	4.0	0.11329100694050301	4624	sequence	CONTROL_SNP_INDIV	no effect
13	4626__CONTROL_SNP_INDIV	1.6545345453669098	0.198342877215461	0.46498617516126395	1.0	94.0	5.0	4.0	-0.239035106304411	4626	sequence	CONTROL_SNP_INDIV	no effect
14	4635__CONTROL_SNP_INDIV	20.448827545868898	6.12470647573434e-06	0.000466547085349986	1.0	100.0	5.0	4.0	0.6455908898197049	4635	sequence	CONTROL_SNP_INDIV	significant effect
