	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status
0	4625__CONTROL_SNP_INDIV	443.72816530779295	1.6713270736643695e-98	2.677465972010319e-95	1.0	101.0	5.0	4.0	0.990102842984629	4625	sequence	CONTROL_SNP_INDIV	significant effect
1	4621__CONTROL_SNP_INDIV	18.5239281514587	1.67784601747459e-05	0.000133319647520313	1.0	101.0	5.0	4.0	0.210510594279293	4621	sequence	CONTROL_SNP_INDIV	significant effect
2	4627__CONTROL_SNP_INDIV	72.2580537197155	1.8881852582914397e-17	2.1103763607787497e-15	1.0	101.0	5.0	4.0	0.44718810240306295	4627	sequence	CONTROL_SNP_INDIV	significant effect
3	4620__CONTROL_SNP_INDIV	42.557365432992796	6.863931458237641e-11	2.49909504456743e-09	1.0	101.0	5.0	4.0	0.31665419464572303	4620	sequence	CONTROL_SNP_INDIV	significant effect
4	4634__CONTROL_SNP_INDIV	51.275818831700704	8.025818635672711e-13	4.10341323011096e-11	1.0	39.0	5.0	4.0	-1.3953491163098402	4634	sequence	CONTROL_SNP_INDIV	significant effect
5	4623__CONTROL_SNP_INDIV	41.0759362129538	1.46428098539407e-10	4.853334079864761e-09	1.0	101.0	5.0	4.0	0.269906531370525	4623	sequence	CONTROL_SNP_INDIV	significant effect
6	4636__CONTROL_SNP_INDIV	10.7016654746894	0.00107039133277099	0.00450464163336022	1.0	101.0	5.0	4.0	-0.148627338193912	4636	sequence	CONTROL_SNP_INDIV	significant effect
7	4630__CONTROL_SNP_INDIV	144.695317543406	2.5036439726330604e-33	8.021675288316328e-31	1.0	101.0	5.0	4.0	-0.575131192944982	4630	sequence	CONTROL_SNP_INDIV	significant effect
8	4629__CONTROL_SNP_INDIV	46.7210090837216	8.184683254719571e-12	3.5759625201983803e-10	1.0	101.0	5.0	4.0	-0.30572938025687607	4629	sequence	CONTROL_SNP_INDIV	significant effect
9	4628__CONTROL_SNP_INDIV	203.201856251217	4.179672042359299e-46	1.7056225590358497e-43	1.0	100.0	5.0	4.0	0.781610606069225	4628	sequence	CONTROL_SNP_INDIV	significant effect
10	4622__CONTROL_SNP_INDIV	18.9382346125294	1.35019354316621e-05	0.000112656773757931	1.0	101.0	5.0	4.0	-0.24946903823767397	4622	sequence	CONTROL_SNP_INDIV	significant effect
11	4632__CONTROL_SNP_INDIV	30.360142843212103	3.58825773270492e-08	6.73639322788276e-07	1.0	50.0	5.0	4.0	0.9022150039861679	4632	sequence	CONTROL_SNP_INDIV	significant effect
12	4624__CONTROL_SNP_INDIV	116.012721901428	4.72257328108668e-27	1.03166759949557e-24	1.0	101.0	5.0	4.0	-0.5265147376340129	4624	sequence	CONTROL_SNP_INDIV	significant effect
13	4626__CONTROL_SNP_INDIV	137.825178660728	7.958343067667759e-32	2.24987039901243e-29	1.0	94.0	5.0	4.0	-0.8238511867601129	4626	sequence	CONTROL_SNP_INDIV	significant effect
14	4635__CONTROL_SNP_INDIV	138.108635639035	6.89971044247656e-32	2.0725005241589e-29	1.0	100.0	5.0	4.0	0.635770450099593	4635	sequence	CONTROL_SNP_INDIV	significant effect
15	4639__CONTROL_SNP_INDIV	3.59857956057931	0.057828962206347	0.12160253252539698	1.0	101.0	5.0	4.0	0.0731268985301129	4639	sequence	CONTROL_SNP_INDIV	no effect
16	4633__CONTROL_SNP_INDIV	0.872923135221072	0.350147330413932	0.486782779858072	1.0	31.0	5.0	4.0	-0.20946857976594396	4633	sequence	CONTROL_SNP_INDIV	no effect
17	4638__CONTROL_SNP_INDIV	1.94480533307069	0.163147727066688	0.27434848715273	1.0	101.0	5.0	4.0	-0.0665974792148088	4638	sequence	CONTROL_SNP_INDIV	no effect
18	4637__CONTROL_SNP_INDIV	42.0022749841664	9.11672907652348e-11	3.23498855124479e-09	1.0	101.0	5.0	4.0	-0.302116372490846	4637	sequence	CONTROL_SNP_INDIV	significant effect
19	4640__CONTROL_SNP_INDIV	15.9768366566714	6.41222606118421e-05	0.000427422447296134	1.0	101.0	5.0	4.0	-0.18417058459179503	4640	sequence	CONTROL_SNP_INDIV	significant effect
20	4631__CONTROL_SNP_INDIV	96.52699576593659	8.803525599749408e-23	1.62729784739983e-20	1.0	101.0	5.0	4.0	0.520073715408368	4631	sequence	CONTROL_SNP_INDIV	significant effect
21	2460__WILDTYPE_SNP_INDIV	0.00226976770591136	0.962001495773278	0.975808186721481	1.0	26.0	5.0	4.0	-0.00408383020415529	2460	sequence	WILDTYPE_SNP_INDIV	no effect
22	1163__WILDTYPE_SNP_INDIV	1.35009117432628	0.24526217822270002	0.37364388830992296	1.0	26.0	5.0	4.0	-0.130725714409049	1163	sequence	WILDTYPE_SNP_INDIV	no effect
23	1115__WILDTYPE_SNP_INDIV	1.96616334157056	0.160855691171988	0.271682684441095	1.0	26.0	5.0	4.0	-0.19903214546959802	1115	sequence	WILDTYPE_SNP_INDIV	no effect
24	2812__WILDTYPE_SNP_INDIV	0.0180147428912676	0.893229393392037	0.932034280046069	1.0	9.0	5.0	4.0	-0.0680221262225934	2812	sequence	WILDTYPE_SNP_INDIV	no effect
25	1079__WILDTYPE_SNP_INDIV	8.16989594521363	0.0042591350184996895	0.014343853124482001	1.0	17.0	5.0	4.0	-0.7532824676832941	1079	sequence	WILDTYPE_SNP_INDIV	significant effect
26	4308__WILDTYPE_SNP_INDIV	14.1903269083058	0.00016521767227424	0.0009427225858534	1.0	10.0	5.0	4.0	-1.3002707890768501	4308	sequence	WILDTYPE_SNP_INDIV	significant effect
27	2263__WILDTYPE_SNP_INDIV	0.351893815099174	0.553043040127826	0.6782150678372879	1.0	24.0	5.0	4.0	-0.10007512869172198	2263	sequence	WILDTYPE_SNP_INDIV	no effect
28	3635__WILDTYPE_SNP_INDIV	2.61286474789244	0.10600011989205198	0.19661774457784803	1.0	25.0	5.0	4.0	-0.228976389518339	3635	sequence	WILDTYPE_SNP_INDIV	no effect
29	4060__WILDTYPE_SNP_INDIV	7.808062035904981	0.00520136546607672	0.0169685652068513	1.0	21.0	5.0	4.0	0.46011326103193895	4060	sequence	WILDTYPE_SNP_INDIV	significant effect
30	1713__WILDTYPE_SNP_INDIV	2.43735197510534	0.11847607533837899	0.21454258405284501	1.0	19.0	5.0	4.0	0.216534697404392	1713	sequence	WILDTYPE_SNP_INDIV	no effect
31	2759__WILDTYPE_SNP_INDIV	29.3103213894719	6.16663539396312e-08	1.0362534861324e-06	1.0	26.0	5.0	4.0	0.7625212627276	2759	sequence	WILDTYPE_SNP_INDIV	significant effect
