	index	stat_comp	pval_comp	fdr_comp	df.test_comp	df.dna_comp	df.rna.full_comp	df.rna.red_comp	logFC_comp	dupe_info	is_ctrl	tile_type	native_status	abs_ef	snp
1	3247__WILDTYPE_SNP_INDIV	94.77301805017241	2.13516219580857e-22	1.02466433776853e-19	1.0	7.0	5.0	4.0	-4.52718867615192	3247	sequence	WILDTYPE_SNP_INDIV	significant effect	4.52718867615192	rs59451191
3	3106__WILDTYPE_SNP_INDIV	12.181119929380099	0.00048275651316417097	0.0123890294474591	1.0	8.0	5.0	4.0	4.3747727386379305	3106	sequence	WILDTYPE_SNP_INDIV	significant effect	4.3747727386379305	rs10605604
5	4150__WILDTYPE_SNP_INDIV	11.5887677117978	0.00066351365274119	0.0151187711443459	1.0	12.0	5.0	4.0	3.55963519118342	4150	sequence	WILDTYPE_SNP_INDIV	significant effect	3.55963519118342	rs1716641
7	4235__WILDTYPE_SNP_INDIV	22.9505703362396	1.6622088434708001e-06	0.000166186254996174	1.0	21.0	5.0	4.0	3.49249522455347	4235	sequence	WILDTYPE_SNP_INDIV	significant effect	3.49249522455347	rs12330363
9	4209__WILDTYPE_SNP_INDIV	10.122206171761801	0.00146493544605434	0.0249626282395637	1.0	12.0	5.0	4.0	3.2998103131274106	4209	sequence	WILDTYPE_SNP_INDIV	significant effect	3.2998103131274106	3:41944080:GA:G
11	3008__WILDTYPE_SNP_INDIV	27.2367625007997	1.80003307681188e-07	2.3995440932278303e-05	1.0	22.0	5.0	4.0	3.2929680487403306	3008	sequence	WILDTYPE_SNP_INDIV	significant effect	3.2929680487403306	rs72675569
13	1359__WILDTYPE_SNP_INDIV	242.81241190361402	9.582719092604849e-55	4.5987468925410695e-51	1.0	26.0	5.0	4.0	-3.25679288565206	1359	sequence	WILDTYPE_SNP_INDIV	significant effect	3.25679288565206	rs7630685
15	2253__WILDTYPE_SNP_INDIV	28.174972506602302	1.1082842887884399e-07	1.56431067702816e-05	1.0	13.0	5.0	4.0	3.24116790415671	2253	sequence	WILDTYPE_SNP_INDIV	significant effect	3.24116790415671	rs710292
17	3805__WILDTYPE_SNP_INDIV	33.207040532649195	8.285001394222372e-09	1.47258228484715e-06	1.0	25.0	5.0	4.0	3.1286401101135497	3805	sequence	WILDTYPE_SNP_INDIV	significant effect	3.1286401101135497	rs17281182
19	4324__WILDTYPE_SNP_INDIV	8.91914021226205	0.00282197333819232	0.0380411518258003	1.0	12.0	5.0	4.0	3.0240649127392696	4324	sequence	WILDTYPE_SNP_INDIV	significant effect	3.0240649127392696	rs7372217
