snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	1.39327702069215e-12	3.62120016981476e-21	0.755623391234275
rs10774625	4.44808398069305e-11	6.84203443157992e-08	0.108891475163463
rs11065979	0.0291131834753962	2.16393140115762e-28	2.0565172040377e-05
rs11065987	0.672526357208713	2.72317159180692e-41	4.34539502413135e-06
rs11065991	0.298360428814253	1.59830564115741e-40	7.05305988207621e-06
rs3184504	7.03590597905887e-09	0.017463935807442	0.00762755894704939
rs4766578	7.057601160941e-11	2.15816964128244e-08	0.0796802384362712
rs597808	7.09354582702624e-10	0.000620679005175222	0.0146569439196197
rs653178	1.19980895803375e-08	0.832747530617954	0.00413151406058901
rs7137828	9.72564801640655e-09	0.0641652162803216	0.0176423827391869
rs7310615	9.16184252266248e-10	0.0850025482870387	0.0117145318725961
