snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	5.46110945905683e-13	2.02583087376064e-21	0.288444763376396
rs10774625	1.67319305320275e-10	3.67337762582864e-07	0.398915410795002
rs11065979	0.0222304682193363	2.35835754488084e-28	1.52934376864915e-05
rs11065987	0.677699373915921	3.9166073009383e-41	4.26452726974876e-06
rs11065991	0.300070138701312	2.29429170587955e-40	6.90832858187286e-06
rs3184504	5.30305703678469e-09	0.0187869224928907	0.00559893856004186
rs4766578	2.50739153989931e-10	1.09435410128724e-07	0.275695404901329
rs597808	4.8920578523661e-10	0.000610945552054932	0.009844314729707
rs653178	8.24377883461975e-09	0.816647866459545	0.00276463196594736
rs7137828	3.73634648692473e-09	0.0351832135576081	0.00660084740990848
rs7310615	9.72434293562075e-10	0.128770575164737	0.0121092219681285
