snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	1.9088964129216e-12	1.26741158194767e-21	0.555961397383244
rs10774625	1.43908800488328e-10	5.65483428398516e-08	0.189191932392831
rs11065979	0.0153395715430217	2.91264310812286e-29	5.81902516944826e-06
rs11065987	0.677538697944813	7.00841895257868e-42	2.350977187887e-06
rs11065991	0.307121629510728	4.20290201307139e-41	3.89889113158606e-06
rs3184504	2.95929767153804e-08	0.0187642410507152	0.0172285431310104
rs4766578	2.22143387466175e-10	1.73533013765175e-08	0.134685629372379
rs597808	2.64942210110037e-09	0.000592209109245136	0.0293985261955345
rs653178	4.42037412824383e-08	0.783755377647468	0.00817429901490369
rs7137828	1.70959158630805e-08	0.0288133489158498	0.0166542630622552
rs7310615	7.09141819714598e-09	0.16807474937509	0.0486933405543516
