snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	8.71238040699237e-13	9.56722538142129e-22	0.391230515715615
rs10774625	1.46175784062359e-10	9.49996109682354e-08	0.296294990100068
rs11065979	0.0165842976359086	5.20816809468269e-29	9.69991003378446e-06
rs11065987	0.676474661350879	1.15731438114134e-41	3.61909064103306e-06
rs11065991	0.306940976283671	6.947164738014e-41	6.00785153357602e-06
rs3184504	1.96577655079478e-08	0.0206153335931126	0.0176452440200317
rs4766578	2.09663187096152e-10	2.70884882137284e-08	0.195994403078635
rs597808	1.84221891810473e-09	0.000681050054598387	0.0315173183483154
rs653178	2.69798119643332e-08	0.791178158644967	0.00769243839203711
rs7137828	1.19596532050177e-08	0.0333375606537226	0.0179632639536188
rs7310615	3.93338720516717e-09	0.154187774965481	0.0416424995394733
