snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	3.24002921371239e-12	8.27624354390167e-21	0.884916877226721
rs10774625	3.11159142795663e-11	4.70396543559018e-08	0.0383609277813959
rs11065979	0.191748791784677	1.40073411540193e-27	6.82120212362541e-05
rs11065987	0.550441318368406	2.19051384770528e-41	1.79108671383667e-06
rs11065991	0.257809865898197	1.35733616597868e-40	3.06917402664535e-06
rs3184504	2.16115832418143e-09	0.00527203107404026	0.00117987978975421
rs4766578	1.00562239236985e-10	3.0222659681558e-08	0.0571760410986453
rs597808	3.45861698588878e-10	0.000297423599306111	0.00359888649965332
rs653178	1.2718464027556e-08	0.86757134189607	0.00220555267157411
rs7137828	7.74803310723764e-09	0.050239101164455	0.00707808530324838
rs7310615	8.4027973169372e-10	0.0766200250038352	0.00541067734703333
