snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	3.16510848515118e-12	1.13152308092974e-21	0.461014339939786
rs10774625	3.88168811347557e-10	8.21282698928113e-08	0.255211039088056
rs11065979	0.0128473171624033	1.31348765893655e-29	2.43732257107799e-06
rs11065987	0.678357366466454	3.778191816482e-42	1.17716248635606e-06
rs11065991	0.308795118586328	2.27535306444724e-41	1.96049026393744e-06
rs3184504	5.31106006135549e-08	0.0181327248302211	0.0154633887094268
rs4766578	5.55153210080285e-10	2.33507633167721e-08	0.168331069804091
rs597808	5.1368114248052e-09	0.000618239940594884	0.0285056917938648
rs653178	8.20943144374343e-08	0.783743754598368	0.00759220857136631
rs7137828	4.41604694963455e-08	0.0400750945691822	0.0215144520084509
rs7310615	1.23361271077176e-08	0.157430080582601	0.0423622351096393
