snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10774624	4.29830397391235e-12	1.17225599604676e-21	0.478091212582023
rs10774625	2.98844298422356e-10	4.82355829325935e-08	0.150041568083341
rs11065979	0.0357560174652392	2.78877330262759e-29	5.18009240737297e-06
rs11065987	0.626537439301639	2.6620916659083e-42	8.30257290221056e-07
rs11065991	0.337706125494619	1.89831302488171e-41	1.63727263591408e-06
rs3184504	2.23825048964253e-07	0.0582963101361055	0.049764534986883
rs4766578	4.40059824146258e-10	1.41205127684055e-08	0.101894548860699
rs597808	1.09496509150924e-08	0.00100534293445221	0.0464008608499677
rs653178	4.97998698290371e-08	0.362693473501547	0.00351698939955564
rs7137828	7.86423225031306e-08	0.0544437116553502	0.0292577375144519
rs7310615	5.37784112975109e-08	0.523561099416433	0.141024900100744
