snp	SNP.PP.H4.abf
rs1016669	0.000372374993649558
rs10212536	5.79088075245861e-11
rs10510729	1.11546080066015e-21
rs10510730	3.70397718008338e-21
rs10510731	3.93354232898714e-21
rs10510732	5.01353323377552e-21
rs10510733	1.4910309165448e-22
rs1052501	0.00186918552350739
rs10865914	1.20627973179967e-07
rs1087599	1.76999201131231e-19
rs111277902	3.67206597449518e-20
rs11129932	9.45637547614742e-22
rs11129935	1.61546754243078e-21
rs111419796	1.30431342585846e-21
rs111465678	1.61301348244016e-10
rs111708447	1.41752269762758e-21
rs111967505	2.87490178325772e-22
rs112059754	5.5251144179283e-08
rs112071272	1.10662316361196e-21
rs112245154	3.70664302471844e-21
rs112265441	6.09355537175817e-25
rs1125203	2.9767214157181e-14
rs112736802	3.12847502232259e-20
rs112787664	7.91694773783792e-24
rs113144620	7.53954224996011e-23
rs113213296	1.13149061444657e-26
rs113300894	6.81032170285899e-21
rs113379006	2.13297155336151e-21
rs113449797	4.65979399655073e-07
rs113471865	2.67001342156623e-09
rs113528686	1.25395934840403e-20
rs113772069	2.28681246031712e-20
rs113803925	3.12123125122512e-21
rs113923306	1.13883737044145e-22
rs113941228	3.40501861491737e-19
rs114034165	1.31163350486486e-21
rs114478966	2.4047975431256e-21
rs114714860	1.11705047547862e-05
rs114960066	0.0286240969877771
rs115702638	2.26787578355701e-25
rs116393551	7.30101336229396e-23
rs11711210	4.93447378962915e-05
rs11923562	3.0681537506399e-12
rs11926737	4.02789115081981e-23
rs12107296	0.00121900665613484
rs12107693	0.00578659036234767
rs12108049	4.22799546371863e-19
rs12108064	1.45564602366892e-21
rs12185908	3.359346562283e-08
rs12185934	1.11546080066015e-21
rs12186050	5.34173126720263e-23
rs12186051	6.69814434411634e-23
rs12186076	5.75983771314113e-08
rs12186109	7.10401144528507e-23
rs12330363	3.64240041320044e-07
rs12492599	6.06765859349622e-07
rs12634670	1.08466073838355e-21
rs12635286	7.30273999008355e-23
rs12639255	3.16831700737545e-09
rs13076952	1.58994445311897e-05
rs13084436	9.22390435267604e-19
rs13087502	7.6339770291938e-18
rs13087719	1.15938320001101e-05
rs13088394	9.74558160444046e-05
rs13321282	3.03032347872114e-07
rs13325965	1.62679581390861e-09
rs137891656	2.2448216642389e-21
rs138239252	9.22433354597645e-13
rs138732282	3.68092472130904e-20
rs140020439	6.69867794921965e-24
rs140981184	8.34422815519899e-19
rs142677174	4.29944848927143e-24
rs142839172	5.98039945424677e-23
rs142874902	7.88830332576699e-22
rs144810385	1.03250132706541e-21
rs145238921	1.65633610990734e-10
rs145343528	9.89572887480382e-22
rs145940573	4.39869028623344e-20
rs146707962	0.0219181602382974
rs1474219	3.75638336482595e-06
rs149638227	1.9489975785064e-21
rs149946355	5.77666112231996e-22
rs150394401	3.56543657367537e-20
rs151238261	3.50524406507182e-22
rs1564716	3.05866022424412e-10
rs1607908	0.00627523616015317
rs1612124	8.91089368298509e-06
rs1613233	2.41263053548311e-06
rs1613759	0.031963314358955
rs1615243	3.2144866128883e-06
rs1615543	0.0392293971818207
rs1617271	0.044972414692556
rs1619558	0.0306064618883131
rs1624519	1.2504564599011e-08
rs1628874	0.000104028336027366
rs1629460	0.00320210438705091
rs1629462	0.000254444961730911
rs17060938	1.60890912832769e-13
rs17060961	2.10111669103421e-11
rs17061431	5.62312341501563e-11
rs17062109	1.70965353622389e-12
rs17063584	1.75275890301621e-10
rs17063599	1.58264387137822e-10
rs17063649	3.88818599412829e-09
rs17063653	5.64092927720189e-08
rs17064124	0.00196580073880333
rs1716641	0.0028074631232091
rs1716642	2.18140693384936e-05
rs1716643	0.00011971497748955
rs1716644	1.1138544998063e-05
rs1716645	4.19394880136621e-07
rs1716648	1.27680501433131e-05
rs1716651	1.90431317066746e-05
rs1716653	3.85184906296775e-08
rs1716657	0.0484295212061407
rs1716660	0.0013216627630616
rs1716661	4.21807923806788e-07
rs1716664	0.000128562835532267
rs1716668	0.0420025946027082
rs1716669	0.00719371849078643
rs1716674	0.00808266930914449
rs1716676	0.0342215344079805
rs1716679	0.0392293971818207
rs1716683	0.0552064847293767
rs1716688	0.0341462498944557
rs1716690	0.0725761177478067
rs1716692	3.27996408913441e-05
rs1716693	1.03402114524764e-05
rs1716694	8.41460791027093e-07
rs1716695	3.74580650760661e-06
rs1716696	1.3651387228758e-06
rs1716698	3.25122164605455e-05
rs1716975	6.6917069724215e-11
rs1716981	2.33477179735931e-05
rs1716982	1.17593215934541e-05
rs1716983	2.79857476931631e-05
rs1716984	1.50474574698355e-08
rs1716985	3.52017074614285e-07
rs1716987	7.86826190690616e-09
rs1716989	2.36178620599618e-05
rs1716990	1.20678507062492e-05
rs1716993	5.63237415368961e-06
rs1716996	2.0274910779873e-09
rs1716997	0.0632966471476895
rs1716999	0.00151201835773635
rs1717000	0.00151201835773635
rs1717001	2.2302826794801e-06
rs1717002	5.21049834060937e-06
rs1717003	7.36232582301571e-06
rs1717006	0.000159227576108402
rs1717007	2.22733556074887e-05
rs1717009	2.68078285534252e-05
rs1717010	1.05442721155999e-05
rs1717011	4.8589945950239e-05
rs1717012	1.04594669315119e-06
rs1717014	4.13104645817736e-05
rs1717017	0.0328367711796509
rs1717018	0.00119086418568501
rs1717020	1.36053227865383e-07
rs1717021	2.86287277210196e-05
rs1717023	4.95955628725719e-07
rs1717024	9.6667912754725e-06
rs1717027	1.18419890259131e-05
rs1717028	0.00755299653818821
rs1717031	0.0366397713239359
rs1717033	0.00477584907136188
rs1717034	0.000269623626737973
rs17214945	1.50508837940477e-21
rs17214987	6.91120109110454e-22
rs17215183	3.33044986190222e-22
rs17215498	1.3350676177345e-21
rs17215589	6.91120109110454e-22
rs17215883	1.11044400021236e-21
rs17215988	3.20643238859744e-21
rs17216919	8.26053459092928e-20
rs17217536	5.58650601370037e-19
rs17217746	3.47657507657219e-20
rs17218103	3.78460863657844e-20
rs17218264	2.03704963368012e-21
rs17218441	1.32702412167524e-23
rs17218504	1.43337758783254e-21
rs17219090	7.36421900019703e-23
rs17280777	8.63333578782499e-22
rs17280952	1.41752269762758e-21
rs17280980	6.50184470078127e-22
rs17281182	4.84492835823488e-21
rs17281609	6.76369350821122e-22
rs17282671	8.26053459092928e-20
rs17283243	3.59415175069618e-20
rs17283481	3.91696636227143e-19
rs17283677	3.32928663341355e-19
rs17283929	2.13625169660911e-20
rs17284313	1.61546754243078e-21
rs17284472	1.1740907303977e-21
rs1851149	2.82741118805359e-19
rs1994157	1.35624282989749e-11
rs2090801	5.53695349739077e-07
rs2128834	3.74301057275254e-10
rs2128835	1.07920792905718e-11
rs2272006	7.36871152099058e-06
rs2272007	1.53819126445913e-06
rs2371623	5.4051131696362e-13
rs2371627	0.0025467856939087
rs2625667	0.00671875731865042
rs2625668	0.0342215344079805
rs2683695	0.008525171192465
rs2683696	6.58977309034474e-05
rs28702390	1.18503165567746e-10
rs28733681	2.25292029880116e-09
rs28755797	1.29260056447816e-18
rs35263917	3.4576667899137e-20
rs3774372	3.36736880804573e-12
rs3890604	7.9954372801051e-13
rs3934103	4.42225123392846e-08
rs4264702	1.11116665737241e-21
rs4299460	2.41061171800337e-20
rs4408846	8.101205596743e-14
rs4547673	9.44390425641935e-21
rs4577439	1.11116665737241e-21
rs4615050	5.00347772564224e-05
rs4616614	6.93693255153716e-13
rs4973991	0.0355829134520672
rs4973995	0.000504573909600109
rs55682201	4.48367335879946e-22
rs55744136	2.86354781031452e-24
rs55748698	2.31553349274057e-22
rs55788971	5.323876036324e-21
rs55820810	4.68784228923476e-20
rs55899232	1.00482844672687e-21
rs55916855	1.82077635822947e-21
rs55916959	5.31422305503842e-21
rs55941479	0.000866836632742649
rs55953604	8.946633776726e-22
rs56081180	1.03578494706179e-10
rs56104136	2.27005288488613e-20
rs56121764	7.91436598107091e-11
rs56158380	1.18503165567746e-10
rs56167033	1.08709910226459e-14
rs56183581	1.23494971263099e-21
rs56194645	1.16208336240567e-21
rs56201224	8.946633776726e-22
rs56212772	8.34169544222809e-24
rs56290987	5.65948228523355e-22
rs56332587	1.06782658899941e-24
rs56728371	3.19202796581612e-21
rs56776628	2.17613327393055e-08
rs56983571	7.93996850444093e-23
rs56994465	2.26787578355701e-25
rs57162396	9.89369939508684e-20
rs57209010	1.79314861419626e-21
rs57479675	2.35081852473347e-11
rs57525756	2.1144881383332e-21
rs57638657	1.69684287526616e-21
rs57809229	1.80172819526881e-21
rs58360908	1.80172819526881e-21
rs58442057	1.02681030116221e-21
rs58916656	1.04599208416866e-24
rs59138513	3.27649580548471e-21
rs59146151	2.07897739961511e-20
rs59432762	3.0323919459642e-24
rs59476821	1.03401893157184e-20
rs59583650	1.91311969225756e-21
rs59873855	1.54380371635497e-14
rs60525434	6.80574333078138e-24
rs60659106	1.15427244656968e-19
rs60690674	2.27278664123425e-21
rs60764195	7.57228479060109e-22
rs60796012	1.7877367772016e-19
rs60927633	3.48525184700859e-21
rs60943892	6.36643058759156e-21
rs60966614	1.71504227022149e-21
rs61283393	6.36643058759156e-21
rs61661916	1.7662468142331e-19
rs61744385	9.37220075254814e-13
rs61744388	2.34070094464292e-12
rs6599168	4.2169172394333e-23
rs6599170	7.36150881204497e-16
rs6599175	8.62749072631563e-16
rs6599176	2.78856475034728e-16
rs6599178	0.00244422176381343
rs6599179	0.0010851814757372
rs6599192	1.63805420855795e-12
rs6763508	7.21196732567514e-23
rs6763829	0.000372374993649558
rs6768128	9.75328466802887e-10
rs6768438	0.00832655893167825
rs6768542	1.04467978503845e-09
rs6768563	7.30396775565674e-09
rs6771928	7.5980002291705e-35
rs6776724	1.58340783255784e-09
rs6781326	6.3772654634571e-16
rs6781529	2.2537667864316e-21
rs6783001	0.00678603163323678
rs6789260	3.72341901875537e-20
rs6790732	0.00463204905255371
rs6791806	0.0013050789190176
rs6793520	3.88818599412829e-09
rs6794074	3.49073384462963e-21
rs6794211	1.14252226622598e-22
rs6794477	0.000225427999665633
rs6795797	0.0130916396537288
rs6796078	8.60707558319436e-18
rs6796210	0.00103816398137228
rs6797165	6.7525406274405e-07
rs6798152	1.58575912834028e-22
rs6801339	1.03557781973174e-17
rs6801343	1.28078951961475e-11
rs6802340	0.00225364526128786
rs6803198	0.00634657454953801
rs6803560	3.07832776475878e-06
rs6803652	5.35683161448195e-10
rs6805140	5.39647444405514e-22
rs6805880	1.42042552680613e-09
rs6807015	1.23533331007885e-12
rs6809328	1.2408635268192e-25
rs704964	2.50927439601756e-19
rs73069203	8.33767976273117e-21
rs73069208	1.29824938103226e-20
rs73069209	1.37763695382524e-20
rs73069213	3.16166544126342e-20
rs73069240	9.98206247637753e-21
rs73069245	8.89458598490518e-21
rs73069277	3.91023781853666e-20
rs73069292	6.37792961592891e-22
rs73069356	2.91004707747299e-31
rs73069357	2.46142834632476e-31
rs73069390	6.72320858688826e-32
rs73069392	1.38566535535305e-22
rs73069394	1.46139532038286e-15
rs73069396	1.47171083758957e-16
rs73071203	3.21426600463636e-21
rs73071208	1.17020969165402e-20
rs73071212	7.23217073584942e-21
rs73071222	1.43337758783254e-21
rs73071236	2.35747814439208e-21
rs73071238	2.88388581799056e-21
rs73071239	3.89258804907695e-27
rs73071242	4.32960318930502e-22
rs73071259	3.02741614498232e-22
rs73071261	1.71504227022149e-21
rs73071304	3.41776143655721e-26
rs73071307	2.86950272154856e-27
rs73071315	5.36066439896613e-22
rs73071325	1.3350676177345e-21
rs73071328	1.3350676177345e-21
rs73071329	6.6295369846771e-11
rs73071330	1.87845479379299e-21
rs73071337	9.32078215246882e-22
rs73071338	1.09835933372334e-21
rs73071341	9.89572887480382e-22
rs73071343	1.99454320288085e-22
rs73071344	3.55735060885258e-22
rs73071352	9.89572887480382e-22
rs73071354	1.05062671490596e-21
rs73071356	2.83096658718417e-22
rs73071358	1.11546080066015e-21
rs73073226	4.59074953795046e-22
rs73073229	1.19809997726703e-21
rs73073230	1.71504227022149e-21
rs73073233	5.9041454048429e-24
rs73073234	6.02275217550407e-23
rs73073235	1.27555548675242e-24
rs73073238	1.55374721919239e-23
rs73073252	2.68451791028764e-22
rs73073323	1.41675799084178e-21
rs73073326	1.18431003128288e-21
rs73073337	2.06775631308589e-23
rs73073352	3.30196340348105e-21
rs73073355	3.48785159877072e-21
rs73073358	3.70397718008338e-21
rs73073361	1.33656439829522e-20
rs73073364	1.2992063994153e-24
rs73073368	1.1443393534293e-21
rs73073371	2.53036264032212e-21
rs73075234	6.81983370641683e-23
rs73075250	3.57208990726019e-26
rs73077358	3.21477283814333e-21
rs73077359	3.21477283814333e-21
rs73077360	3.02790737472471e-21
rs73077361	8.60519707903965e-21
rs73077365	1.46899263743529e-21
rs73077367	5.58384938057742e-09
rs73077373	8.11507371841701e-21
rs73077375	5.36680262021013e-21
rs73077386	4.2803627509968e-22
rs73077390	2.62535153097239e-21
rs73079307	2.6862271424637e-21
rs73079316	4.60611419174064e-11
rs73079324	0.00118696744102234
rs73079325	4.88909352885123e-10
rs73079327	0.00954393152596851
rs73079350	9.42336801539885e-22
rs73079360	8.7413310080894e-20
rs73081321	1.02651854985634e-18
rs73081335	2.0956630055425e-19
rs73081341	9.68166048353637e-12
rs73081347	1.6838755320776e-19
rs73081353	1.10828350742549e-09
rs73081361	2.13951141548867e-19
rs73081364	1.44733302957619e-10
rs73081370	2.17802047130253e-19
rs73081372	3.66961185762961e-19
rs73081383	4.9541190066096e-19
rs73081392	5.93791799717721e-20
rs73083326	9.74151978465827e-20
rs73083329	1.70419188519462e-19
rs73083333	3.5343825634336e-19
rs73087368	6.43002744588681e-19
rs73087378	1.52643129932253e-21
rs7372217	7.93909423137112e-06
rs7373694	1.19918747345006e-06
