snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs1034564	5.32376377108744e-05	0.0761777737426139
rs1034565	1.4178524515785e-06	0.256323664506853
rs1034566	1.65111947723946e-05	0.0512272056098053
rs12628032	3.18469433752053e-07	0.000196940137705861
rs2073743	3.09898485267826e-05	0.0752139913899964
rs2073748	0.000795792965453255	1.82342916973931e-08
rs2238781	0.000990565877746737	2.2697193798428e-08
rs2238782	0.428702609019135	1.17923993286828e-08
rs2238783	0.121240195915314	3.33497574972141e-09
rs2238784	3.04219638171913e-05	0.0152107678818717
rs2238786	8.04674350107005e-05	0.0125553385548982
rs2238787	0.000254086283584146	0.0357589073227483
rs2238792	5.74591340838751e-05	0.0795323816873191
rs2240716	3.53833460503263e-07	0.000393912466093755
rs2240717	0.187990622194875	5.17109166198362e-09
rs4819852	1.51824951102293e-05	0.205166103470824
rs71313932	2.396762379075e-05	0.00525584061186859
rs7285377	4.66798475701321e-06	0.0630800297779998
rs756653	7.29245838540624e-05	0.0102630626053603
rs758374	3.53833460503263e-07	0.000393912466093755
rs917478	0.121240195915314	3.33497574972141e-09
rs917479	0.138260011986068	3.80314287393434e-09
rs9606203	6.47213684116074e-05	0.102987036794516
rs9606204	7.29245838540624e-05	0.0102630626053603
