snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs11630478	1.91994884090709e-14	0.0387662078605975
rs11636952	0.999999999971237	1.35026477353072e-05
rs12591513	3.86117368106847e-12	0.0270981423153612
rs12594062	2.74708864748986e-12	0.019279370800537
rs12898997	1.20329878165845e-11	0.0844488342836215
rs12902690	5.70209658298397e-19	1.11074413021046e-21
rs12905199	1.50767239452657e-13	0.19566287928782
rs1378940	7.89807599530935e-15	0.0102499740373743
rs1378941	5.41531532055854e-14	0.0702789406849033
rs1378942	7.03613051832372e-15	0.00913135745708489
rs2168518	7.61618607117319e-14	0.0988414261140255
rs34862454	1.24263931255854e-12	0.00872097960873284
rs35206230	8.55348004364074e-12	0.0600292653631748
rs3765066	1.93633910130672e-18	3.57912804054092e-21
rs3784789	6.88633106028671e-16	0.377479119539017
