snp	SNP.PP.H4.abf
rs10742802	0.0553042211960859
rs10769263	0.0517325212258467
rs10769264	0.0747668899580982
rs10838702	0.110834042874965
rs10838705	0.0598677350200292
rs11039221	0.0831712412151922
rs11039225	0.0476900288173968
rs11606287	0.00044097175817368
rs12292911	0.00489465980555808
rs12801188	0.000234858549217013
rs1377416	0.0522735953661001
rs1534576	0.0821911600833358
rs2278890	0.00059389480993123
rs2293579	0.00443540681521187
rs34937994	0.000101776424167621
rs35032070	0.000132401082748473
rs3758675	0.000514722032456062
rs3824869	0.000254274391645655
rs4434960	0.0210020259099319
rs7103648	0.0223253787452848
rs7104036	0.0158253187772801
rs7947450	0.0618847757521139
rs896817	0.249528099389231
