snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs10003742	6.3209414315532e-11	4.35521451204652e-07
rs10004114	6.67329581545699e-11	4.59799146905178e-07
rs10015883	3.73443253209777e-10	2.44894086121247e-06
rs10213542	5.65657007193993e-10	3.79189093544225e-06
rs10518336	0.850768749569746	9.11533049466701e-09
rs10518337	6.95354347647372e-08	7.83178816106695e-07
rs1155577	0.00154729050801992	0.00893826247430865
rs12648182	0.00524302641134685	0.0852639182228683
rs13104219	0.00779707873085655	0.00505464354529349
rs13134517	7.84784379436774e-07	1.09225569647689e-05
rs1480933	0.00231311309053889	0.0132008154858243
rs1814815	2.91574906190096e-10	2.00899071212508e-06
rs2389873	0.00208634870604054	0.00463925119896522
rs2389875	0.000656713895791658	7.84477464890322e-06
rs2715016	2.09575128041279e-10	3.3791719297983e-06
rs28439855	4.38903387606804e-10	3.02410396266212e-06
rs2892869	0.00560902332756348	0.0364030353735695
rs3775842	0.00413384423839637	0.0112606489967474
rs41464847	0.0232308737934112	0.0013985869152887
rs4643791	3.56481043340939e-10	2.53550775421747e-06
rs4834792	0.0117514306365987	0.00138935729984635
rs55661135	0.0082248136616008	0.0149580425896056
rs56173225	0.00468124701840108	0.0496127160906224
rs56843000	0.00243811622615404	0.0261995641565334
rs59516282	0.00115522940527409	0.315297145271661
rs59590064	0.0150700805831185	0.00920579798727418
rs6534135	8.30940356272592e-08	2.6385541291905e-05
rs66887589	0.000615215487217541	0.219184807882095
rs6843229	4.99123549307418e-08	1.03145284555995e-05
rs6844263	0.000205872725506231	0.0557770781962366
rs72920701	0.00555383133251655	0.0478578164979724
rs76541370	0.0016828239935275	0.0435357691907256
rs7661498	5.21284054104139e-08	2.45668829655361e-05
rs7672519	0.00302047658542244	0.009861210438882
rs7678973	0.00361184490779253	0.038474675343203
rs7681980	0.038601501918047	0.00236780934620646
rs9307472	4.64885390504604e-10	3.14776545867764e-06
rs9307477	3.89422547058924e-07	6.32320303930135e-06
rs9637624	8.81815911907115e-11	5.96222641043624e-07
rs9799664	2.14513072733418e-08	1.00697999038332e-05
