query family beginR
chr10:102604446:102604581 L1PB1 LINE/L1
chr10:102604446:102604581_1 L1PB1 LINE/L1
chr10:102615697:102615832 MSTB LTR/ERVL-MaLR
chr10:102615697:102615832_1 MSTB LTR/ERVL-MaLR
chr10:102617651:102617786 (TTG)n Simple_repeat
chr10:102617651:102617786 AluSx SINE/Alu
chr10:102617651:102617786_1 (TTG)n Simple_repeat
chr10:102617651:102617786_1 AluSx SINE/Alu
chr10:104598927:104599062 MER11A LTR/ERVK
chr10:104598927:104599062 HERVK11-int LTR/ERVK
chr10:104598927:104599062_1 MER11A LTR/ERVK
chr10:104598927:104599062_1 HERVK11-int LTR/ERVK
chr10:104604495:104604630 MER11A LTR/ERVK
chr10:104604495:104604630_1 MER11A LTR/ERVK
chr10:104604848:104604983 MER11A LTR/ERVK
chr10:104604848:104604983_1 MER11A LTR/ERVK
chr10:104612873:104613008 AluSx SINE/Alu
chr10:104612873:104613008_1 AluSx SINE/Alu
chr10:104612952:104613087 AluSx SINE/Alu
chr10:104612952:104613087_1 AluSx SINE/Alu
chr10:104625902:104626037 MIR3 SINE/MIR
chr10:104625902:104626037_1 MIR3 SINE/MIR
chr10:104627162:104627297 AluSx SINE/Alu
chr10:104627162:104627297_1 AluSx SINE/Alu
chr10:104628166:104628301 U6 snRNA
chr10:104628166:104628301_1 U6 snRNA
chr10:104636208:104636343 SVA_A Retroposon/SVA
chr10:104636208:104636343_1 SVA_A Retroposon/SVA
chr10:104637440:104637575 AluSx SINE/Alu
chr10:104637440:104637575_1 AluSx SINE/Alu
chr10:104639583:104639718 L1MC4 LINE/L1
chr10:104639583:104639718_1 L1MC4 LINE/L1
chr10:104642794:104642929 (TA)n Simple_repeat
chr10:104642794:104642929 AluSx SINE/Alu
chr10:104642794:104642929_1 (TA)n Simple_repeat
chr10:104642794:104642929_1 AluSx SINE/Alu
chr10:104645976:104646111 (TTCC)n Simple_repeat
chr10:104645976:104646111 (TCTT)n Simple_repeat
chr10:104645976:104646111_1 (TTCC)n Simple_repeat
chr10:104645976:104646111_1 (TCTT)n Simple_repeat
chr10:104648414:104648549 AluSx SINE/Alu
chr10:104648414:104648549 L1MA4 LINE/L1
chr10:104648414:104648549_1 AluSx SINE/Alu
chr10:104648414:104648549_1 L1MA4 LINE/L1
chr10:104652255:104652390 MER4B-int LTR/ERV1
chr10:104652255:104652390_1 MER4B-int LTR/ERV1
chr10:104655282:104655417 L1M4c LINE/L1
chr10:104655282:104655417_1 L1M4c LINE/L1
chr10:104655971:104656106 AluJb SINE/Alu
chr10:104655971:104656106_1 AluJb SINE/Alu
chr10:104657180:104657315 AluSx SINE/Alu
chr10:104657180:104657315_1 AluSx SINE/Alu
chr10:104657401:104657536 AluSx SINE/Alu
chr10:104657401:104657536_1 AluSx SINE/Alu
chr10:104660620:104660755 AluSx SINE/Alu
chr10:104660620:104660755_1 AluSx SINE/Alu
chr10:104661177:104661312 AluY SINE/Alu
chr10:104661177:104661312_1 AluY SINE/Alu
chr10:104661813:104661948 AluJb SINE/Alu
chr10:104661813:104661948_1 AluJb SINE/Alu
chr10:104662147:104662282 AluSx SINE/Alu
chr10:104662147:104662282_1 AluSx SINE/Alu
chr10:104665929:104666064 AluSx SINE/Alu
chr10:104665929:104666064 (AT)n Simple_repeat
chr10:104665929:104666064_1 AluSx SINE/Alu
chr10:104665929:104666064_1 (AT)n Simple_repeat
chr10:104673029:104673164 AluJb SINE/Alu
chr10:104673029:104673164_1 AluJb SINE/Alu
chr10:104675734:104675869 7SLRNA srpRNA
chr10:104675734:104675869 (AT)n Simple_repeat
chr10:104675734:104675869_1 7SLRNA srpRNA
chr10:104675734:104675869_1 (AT)n Simple_repeat
chr10:104682534:104682669 AluSx SINE/Alu
chr10:104682534:104682669_1 AluSx SINE/Alu
chr10:104685231:104685366 MIR3 SINE/MIR
chr10:104685231:104685366_1 MIR3 SINE/MIR
chr10:104692565:104692700 AluSx SINE/Alu
chr10:104692565:104692700_1 AluSx SINE/Alu
chr10:104694586:104694721 AluSx SINE/Alu
chr10:104694586:104694721_1 AluSx SINE/Alu
chr10:104713008:104713143 AluSx SINE/Alu
chr10:104713008:104713143_1 AluSx SINE/Alu
chr10:104713045:104713180 AluSx SINE/Alu
chr10:104713045:104713180_1 AluSx SINE/Alu
chr10:104713094:104713229 AluSx SINE/Alu
chr10:104713094:104713229_1 AluSx SINE/Alu
chr10:104721894:104722029 L1PA10 LINE/L1
