comp_id	ctrl_status
4625__CONTROL_SNP_INDIV	False
4621__CONTROL_SNP_INDIV	False
4627__CONTROL_SNP_INDIV	False
4620__CONTROL_SNP_INDIV	False
4634__CONTROL_SNP_INDIV	False
4623__CONTROL_SNP_INDIV	False
4636__CONTROL_SNP_INDIV	False
4630__CONTROL_SNP_INDIV	False
4629__CONTROL_SNP_INDIV	False
4628__CONTROL_SNP_INDIV	False
4622__CONTROL_SNP_INDIV	False
4632__CONTROL_SNP_INDIV	False
4624__CONTROL_SNP_INDIV	False
4626__CONTROL_SNP_INDIV	False
4635__CONTROL_SNP_INDIV	False
4639__CONTROL_SNP_INDIV	False
4633__CONTROL_SNP_INDIV	False
4638__CONTROL_SNP_INDIV	False
4637__CONTROL_SNP_INDIV	False
4640__CONTROL_SNP_INDIV	False
4631__CONTROL_SNP_INDIV	False
2460__WILDTYPE_SNP_INDIV	False
1163__WILDTYPE_SNP_INDIV	False
1115__WILDTYPE_SNP_INDIV	False
2812__WILDTYPE_SNP_INDIV	False
1079__WILDTYPE_SNP_INDIV	False
4308__WILDTYPE_SNP_INDIV	False
2263__WILDTYPE_SNP_INDIV	False
3635__WILDTYPE_SNP_INDIV	False
4060__WILDTYPE_SNP_INDIV	False
1713__WILDTYPE_SNP_INDIV	False
2759__WILDTYPE_SNP_INDIV	False
339__WILDTYPE_SNP_INDIV	False
3992__WILDTYPE_SNP_INDIV	False
4289__WILDTYPE_SNP_INDIV	False
3723__WILDTYPE_SNP_INDIV	False
1329__WILDTYPE_SNP_INDIV	False
1679__WILDTYPE_SNP_INDIV	False
3343__WILDTYPE_SNP_INDIV	False
2667__WILDTYPE_SNP_INDIV	False
4472__WILDTYPE_SNP_INDIV	False
809__WILDTYPE_SNP_INDIV	False
3289__WILDTYPE_SNP_INDIV	False
4150__WILDTYPE_SNP_INDIV	False
3282__WILDTYPE_SNP_INDIV	False
190__WILDTYPE_SNP_INDIV	False
2109__WILDTYPE_SNP_INDIV	False
1117__WILDTYPE_SNP_INDIV	False
2405__WILDTYPE_SNP_INDIV	False
189__WILDTYPE_SNP_INDIV	False
2619__WILDTYPE_SNP_INDIV	False
236__WILDTYPE_SNP_INDIV	False
584__WILDTYPE_SNP_INDIV	False
602__WILDTYPE_SNP_INDIV	False
672__WILDTYPE_SNP_INDIV	False
174__WILDTYPE_SNP_INDIV	False
1661__WILDTYPE_SNP_INDIV	False
448__WILDTYPE_SNP_INDIV	False
44__WILDTYPE_SNP_INDIV	False
883__WILDTYPE_SNP_INDIV	False
3706__WILDTYPE_SNP_INDIV	False
36__WILDTYPE_SNP_INDIV	False
1409__WILDTYPE_SNP_INDIV	False
1871__WILDTYPE_SNP_INDIV	False
3__WILDTYPE_SNP_INDIV	False
4531__WILDTYPE_SNP_INDIV	False
991__WILDTYPE_SNP_INDIV	False
3870__WILDTYPE_SNP_INDIV	False
191__WILDTYPE_SNP_INDIV	False
2993__WILDTYPE_SNP_INDIV	False
4011__WILDTYPE_SNP_INDIV	False
4333__WILDTYPE_SNP_INDIV	False
4505__WILDTYPE_SNP_INDIV	False
1512__WILDTYPE_SNP_INDIV	False
3133__WILDTYPE_SNP_INDIV	False
1800__WILDTYPE_SNP_INDIV	False
2942__WILDTYPE_SNP_INDIV	False
1422__WILDTYPE_SNP_INDIV	False
2684__WILDTYPE_SNP_INDIV	False
1930__WILDTYPE_SNP_INDIV	False
2733__WILDTYPE_SNP_INDIV	False
2243__WILDTYPE_SNP_INDIV	False
294__WILDTYPE_SNP_INDIV	False
1577__WILDTYPE_SNP_INDIV	False
4221__WILDTYPE_SNP_INDIV	False
2465__WILDTYPE_SNP_INDIV	False
1392__WILDTYPE_SNP_INDIV	False
4347__WILDTYPE_SNP_INDIV	False
4234__WILDTYPE_SNP_INDIV	False
2850__WILDTYPE_SNP_INDIV	False
278__WILDTYPE_SNP_INDIV	False
45__WILDTYPE_SNP_INDIV	False
4044__WILDTYPE_SNP_INDIV	False
1686__WILDTYPE_SNP_INDIV	False
3181__WILDTYPE_SNP_INDIV	False
653__WILDTYPE_SNP_INDIV	False
3801__WILDTYPE_SNP_INDIV	False
565__WILDTYPE_SNP_INDIV	False
1945__WILDTYPE_SNP_INDIV	False
1456__WILDTYPE_SNP_INDIV	False
1845__WILDTYPE_SNP_INDIV	False
4601__WILDTYPE_SNP_INDIV	False
1537__WILDTYPE_SNP_INDIV	False
1485__WILDTYPE_SNP_INDIV	False
1633__WILDTYPE_SNP_INDIV	False
4599__WILDTYPE_SNP_INDIV	False
4670__WILDTYPE_SNP_INDIV	False
3986__WILDTYPE_SNP_INDIV	False
3978__WILDTYPE_SNP_INDIV	False
735__WILDTYPE_SNP_INDIV	False
31__WILDTYPE_SNP_INDIV	False
2630__WILDTYPE_SNP_INDIV	False
222__WILDTYPE_SNP_INDIV	False
3128__WILDTYPE_SNP_INDIV	False
1379__WILDTYPE_SNP_INDIV	False
3973__WILDTYPE_SNP_INDIV	False
2295__WILDTYPE_SNP_INDIV	False
3453__WILDTYPE_SNP_INDIV	False
3058__WILDTYPE_SNP_INDIV	False
4212__WILDTYPE_SNP_INDIV	False
3521__WILDTYPE_SNP_INDIV	False
4563__WILDTYPE_SNP_INDIV	False
3360__WILDTYPE_SNP_INDIV	False
3419__WILDTYPE_SNP_INDIV	False
3747__WILDTYPE_SNP_INDIV	False
806__WILDTYPE_SNP_INDIV	False
3464__WILDTYPE_SNP_INDIV	False
3555__WILDTYPE_SNP_INDIV	False
1501__WILDTYPE_SNP_INDIV	False
553__WILDTYPE_SNP_INDIV	False
3323__WILDTYPE_SNP_INDIV	False
