snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs10212341	7.42367338814093e-26	9.73457064119018e-23
rs11712278	7.54790399190509e-16	0.000165100952366939
rs11714608	1.50994558525407e-26	9.77684746660215e-23
rs11714897	7.0037574641994e-26	9.53269219192514e-23
rs11719656	6.42223041845701e-19	0.18082942807281
rs12054450	7.19564137562727e-31	4.02949256924592e-18
rs13060115	5.57104857498355e-29	7.64437201691774e-19
rs13075010	3.62816614695314e-11	3.39691222112138e-17
rs13093662	1.17895816478877e-29	1.61866383650251e-18
rs13097288	3.1195935385886e-18	0.00335997923386482
rs2029465	3.58886016375228e-17	0.0352757476785341
rs2172122	4.04887019559171e-12	1.80398510726955e-19
rs35249078	5.55654661165654e-29	2.38822751354857e-19
rs35998149	2.84958855899584e-17	0.0219717160500833
rs4681746	2.31738912464252e-20	0.204775174005792
rs57800049	1.27856553586078e-26	5.67810591388802e-22
rs6445805	1.05989477947186e-24	4.46025740317786e-23
rs66529035	3.85371656188944e-17	0.0119025174875905
rs9827472	0.99999999995967	1.68110426308636e-12
rs9881154	1.78078283716897e-18	0.541720336517282
