snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3
rs10212341	7.69907294975825e-42	1.90501024740121e-28	0.0597790677523157
rs11712278	1.37624614985716e-35	0.000141467637909081	1.41565899889509e-10
rs11714608	9.73923198225941e-43	1.11339624327727e-28	0.0422113420266638
rs11714897	1.43604428348883e-41	1.3490038326248e-28	0.0428213070112733
rs11719656	4.02447963860751e-38	0.000170585555084747	5.96795778380321e-10
rs12054450	3.45305242381578e-48	6.41093677187283e-24	0.0762831370539009
rs13060115	8.53449444727349e-41	6.2495399968452e-27	0.000267846983258839
rs13075010	3.2048162208498e-19	4.73952440458102e-21	9.4670432634992e-08
rs13093662	9.15323510963008e-42	1.27483982555667e-26	0.000500753236476591
rs13097288	1.75305686086959e-38	7.43495218676052e-06	1.14757642280588e-10
rs2029465	1.3028349309742e-36	6.8652667941962e-05	7.83770984515048e-10
rs2172122	9.60086312192571e-25	1.87353819007342e-21	2.9439313143153e-08
rs35249078	8.6420516672678e-42	4.10108713377075e-27	0.000206195453373051
rs35998149	2.17239815051336e-40	0.00641277753010699	1.07516683334308e-08
rs4681746	9.00573966849323e-42	0.993088676242698	4.86677785445193e-09
rs57800049	1.0779133899175e-43	2.27053692747529e-27	0.657604801727992
rs6445805	1.23481921424307e-41	3.82617509626518e-28	0.119744703431748
rs66529035	9.08627359165941e-37	3.46450960983049e-05	4.14511141036085e-10
rs9827472	1	1.00342450166544e-14	0.00058070312384305
rs9881154	6.18248652314374e-36	7.57603179723171e-05	4.19564143223997e-10
