snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	2.084e-29	0.498099	747720	2.67483671805744e-06	11.2593031866376	0.999881132499249	58.8596690322383	4.18528e-08	0.498099	372	0.00537642180329546	5.4828499460363	0.807133718910083	11.3090039826127	70.168673014851	0.000655479595045295
SNP.10	8.124e-28	0.462121	745309	2.69894071848135e-06	10.9317788910396	0.999880061466156	55.230462724437	2.97143e-07	0.462121	372	0.00540737851599628	5.12525012921996	0.806238392728403	9.76864784207612	64.9991105665131	3.72774959387036e-06
SNP.11	8.471e-28	0.460227	747459	2.69277073168131e-06	10.9279834016435	0.999880335622091	55.1878556119379	3.31992e-07	0.460227	372	0.00541057988798865	5.10431663634526	0.806145916362092	9.6813575560157	64.8692131679536	3.27365575055902e-06
SNP.12	8.249e-28	0.469697	748305	2.68256026231082e-06	10.9303934267426	0.999880789312335	55.2123198997468	8.77179e-08	0.469697	372	0.00539616466959274	5.35048690552603	0.806562488660864	10.723618183285	65.9359380830319	9.51274275136928e-06
SNP.13	5.937e-28	0.471591	748098	2.68210512714225e-06	10.9601969845123	0.999880809535743	55.5384061355042	1.34638e-07	0.471591	372	0.00539375667044317	5.27241799784448	0.806632117209278	10.3899573250796	65.9283634605838	9.44095952521304e-06
SNP.14	8.303e-28	0.469697	748234	2.68281481072565e-06	10.9298013355146	0.99988077800177	55.2058958180125	8.77179e-08	0.469697	372	0.00539616466959274	5.35048690552603	0.806562488660864	10.723618183285	65.9295140012975	9.45182798462675e-06
SNP.15	2.252e-29	0.450758	746839	2.70418146914604e-06	11.2524683984609	0.999879828599828	58.7881188455426	1.89216e-09	0.450758	372	0.00542900049525687	6.0068040204236	0.805614221812955	13.7150078606247	72.5031267061673	0.0067670523020959
SNP.16	4.004e-29	0.462121	749053	2.68545057285748e-06	11.2016077765573	0.99988066088473	58.2137505867861	8.17239e-09	0.462121	372	0.00540737851599628	5.76486361798659	0.806238392728403	12.576559949725	70.7903105365111	0.00122048633744093
SNP.17	2.086e-27	0.473384	746943	2.68518936033997e-06	10.845888095862	0.999880672491405	54.2928065143126	1.92419e-07	0.473384	372	0.0053916220332807	5.2065161063238	0.806693851406443	10.1121117697352	64.4049182840478	2.05774853942053e-06
SNP.18	7.882e-28	0.465909	750123	2.67868202218088e-06	10.9345222971664	0.9998809616375	55.2567402240233	3.64134e-08	0.465909	372	0.00540145428635588	5.5074184502904	0.806409578836998	11.4088644797868	66.6656047038101	1.97331282974958e-05
SNP.19	3.69e-25	0.482692	722256	2.77242336518765e-06	10.362041719175	0.999876796364775	49.1785039899287	1.22548e-06	0.482692	372	0.0053827941130295	4.85147283013233	0.806949257265643	8.67409594381812	57.8525999337468	2.93600370231243e-09
SNP.2	1.755e-28	0.465517	751535	2.67393811265344e-06	11.0699492342783	0.999881172427774	56.7456886907892	2.69249e-08	0.465517	372	0.00540203784809948	5.56034038523354	0.806392713051694	11.6448153329826	68.3905040237719	0.00011074144753687
SNP.20	5.089e-29	0.471264	741612	2.70576521672219e-06	11.1803480652428	0.999879758227968	57.9795732706584	3.76556e-08	0.471264	372	0.00539416116640801	5.50150824523807	0.806620420157893	11.3852758267641	69.3648490974226	0.000293401875049644
SNP.21	3.706e-28	0.452471	743858	2.71320176054694e-06	11.0027628722726	0.999879427794497	56.0114662441075	9.563e-08	0.452471	372	0.00542536783655087	5.33483780394961	0.805719019770628	10.6463559148065	66.6578221589139	1.95801503914191e-05
SNP.22	7.803e-30	0.460227	748048	2.69065049078639e-06	11.3455545357346	0.999880429832477	59.8373046380678	3.91018e-09	0.460227	372	0.00541057988798865	5.88794888709477	0.806145916362092	13.1533852005438	72.9906898386116	0.0110190844405956
SNP.3	3.094e-30	0.439394	750824	2.70346028608492e-06	11.4261866649737	0.999879860644706	60.7575991925285	3.41732e-09	0.439394	372	0.0054565130802135	5.9101810130673	0.80482140013107	13.2393820523827	73.9969812449112	0.0301420173907254
SNP.4	3.978e-31	0.42803	750329	2.7218915198759e-06	11.6030174970818	0.999879041676247	62.7968329565741	6.0467e-10	0.42803	372	0.00549009178015313	6.18920865549351	0.803855885029788	14.5819210594038	77.3787540159779	0.886865109722329
SNP.5	3.992e-29	0.467308	749694	2.67920890956898e-06	11.2018736399633	0.999880938225858	58.2155824251329	3.61711e-08	0.467308	372	0.00539942700067313	5.50859403640305	0.806468175832326	11.4148237770194	69.6304062021523	0.00038264220470472
SNP.6	1.068e-27	0.460227	745663	2.69925652517529e-06	10.9069320614886	0.99988004743367	54.959241561372	3.31992e-07	0.460227	372	0.00541057988798865	5.10431663634526	0.806145916362092	9.6813575560157	64.6405991173877	2.60463689146252e-06
SNP.7	9.04e-28	0.460227	745346	2.70040453471512e-06	10.9220814438331	0.999879996423266	55.1247793029846	3.31992e-07	0.460227	372	0.00541057988798865	5.10431663634526	0.806145916362092	9.6813575560157	64.8061368590003	3.07354315428238e-06
SNP.8	4.354e-30	0.439394	749296	2.70897331073357e-06	11.3964736581978	0.999879615680319	60.4195775522534	8.81693e-10	0.439394	372	0.0054565130802135	6.12947541056444	0.80482140013107	14.3018385336889	74.7214160859424	0.0621999979003287
SNP.9	3.388e-29	0.448864	748418	2.70055001568074e-06	11.2163954475125	0.999879989958997	58.3822467624329	7.17701e-08	0.448864	372	0.00543317269256921	5.38668237803845	0.805493892427961	10.8675993038892	69.2498460663221	0.000261527705260098
