Var1	Freq.x	sentinel	Freq.y	start	end	width	chr	clustering
1	1	rs10057188	121	77821975	77913661	91687	5	1319.70726493396
100	1	rs67330701	1	69079707	69079707	1	11	1e+06
101	2	rs6911827	14	22109189	22136262	27074	6	517.101277978873
102	2	rs7125196	7	61272565	61278918	6354	11	1101.66824047844
103	3	rs7137828	13	111826477	112083162	256686	12	50.6455357908106
106	1	rs7236548	12	43092068	43099143	7076	18	1695.87337478802
107	3	rs72765298	14	127900996	127988241	87246	9	160.465809320771
108	1	rs72812846	69	173301427	173392398	90972	5	758.475135206437
109	1	rs740698	9	60760456	60771108	10653	17	844.832441565756
11	1	rs113144535	1	16286396	16286396	1	11	1e+06
110	1	rs74181299	23	65276452	65298282	21831	2	1053.54770738858
111	1	rs743757	67	50424182	50537682	113501	3	590.303169135074
112	1	rs7500448	1	83045790	83045790	1	16	1e+06
113	2	rs7592578	51	191287683	191471395	183713	2	277.60691948855
114	1	rs76206723	51	40394497	40477363	82867	7	615.444024762571
116	1	rs77431689	5	7253184	7257990	4807	19	1040.14978156855
119	1	rs79146658	7	179721046	179799576	78531	2	89.1367740128102
12	1	rs11413924	9	54434813	54445218	10406	12	864.885642898328
120	1	rs79253921	114	120393617	120475358	81742	8	1394.63189058256
122	1	rs7973748	90	20154121	20210632	56512	12	1592.58210645527
123	4	rs80335285	8	44967530	45244074	276545	17	28.9283841689418
124	1	rs8258	3	117256384	117283676	27293	11	109.918294068076
127	1	rs9337951	1	30317073	30317073	1	10	1e+06
128	1	rs9349379	1	12903957	12903957	1	6	1e+06
129	1	rs9372498	17	118567764	118612943	45180	6	376.272687029659
13	1	rs11431123	30	89941549	90091782	150234	12	199.688485961899
130	1	rs953492	24	243458922	243501763	42842	1	560.197936604267
132	1	rs9687065	38	148347543	148406386	58844	5	645.775270205968
133	2	rs9827472	31	56567175	56733738	166564	3	186.114646622319
134	1	rs9859176	24	133882270	134000025	117756	3	203.811270763273
135	1	rs9888615	8	53322999	53377540	54542	14	146.675956143889
14	6	rs11636952	20	75065644	75140854	75211	15	265.918549148396
15	2	rs11643209	308	75312548	75491327	178780	16	1722.78778386844
16	1	rs11690961	2	46357133	46363336	6204	2	322.372662798195
18	1	rs1216743	9	100550330	100610546	60217	11	149.459454971188
19	1	rs12408022	9	217716862	217724264	7403	1	1215.72335539646
20	1	rs12476527	17	26911509	26932796	21288	2	798.571965426531
21	1	rs1250259	15	216287093	216306635	19543	2	767.538248989408
22	1	rs12628032	26	19960184	19989612	29429	22	883.482279384281
23	1	rs12693302	7	183210447	183213987	3541	2	1976.84269980232
26	1	rs12917707	33	20352863	20367690	14828	16	2225.51928783383
27	2	rs12921187	20	4922201	4952598	30398	16	657.938022238305
29	1	rs13107325	4	103146888	103198082	51195	4	78.1326301396621
3	1	rs1063281	13	218667372	218683154	15783	2	823.671038459102
31	1	rs13139571	19	156614184	156677592	63409	4	299.642006655207
32	1	rs13205180	8	51832494	51840315	7822	6	1022.75632830478
34	2	rs13238550	24	131015852	131192213	176362	7	136.083736859414
35	1	rs13420463	9	37498688	37559743	61056	2	147.405660377358
37	2	rs139385870	56	1678911	1832825	153915	1	363.83718286067
39	1	rs1421811	9	32699586	32716474	16889	5	532.891230978743
41	1	rs1438896	11	145634153	145728994	94842	2	115.982370679657
43	1	rs151225441	31	63424211	63552598	128388	10	241.455587749634
44	1	rs1530440	23	63501848	63549345	47498	10	484.230914985894
45	1	rs1566497	27	169682578	169717148	34571	4	781.001417372943
46	1	rs167479	1	11526765	11526765	1	19	1e+06
47	1	rs1794519	38	32577633	32679326	101694	6	373.670029696934
48	5	rs1799945	8	26091179	26128410	37232	6	214.868929952729
49	1	rs1801131	3	11841945	11854476	12532	1	239.38716884775
5	3	rs10922502	41	89151598	89440896	289299	1	141.721886352874
50	1	rs1848797	2	64552934	64564892	11959	10	167.238063383226
