CHR	POS	PHENOTYPE
5	77896488	PP
5	77869903	PP
5	77856454	PP
5	77822690	PP
5	77829812	PP
5	77904222	PP
5	77882880	PP
5	77858594	PP
5	77855871	PP
5	77905986	PP
5	77844982	PP
5	77877361	PP
5	77885830	PP
5	77867941	PP
5	77839687	PP
5	77897336	PP
5	77828723	PP
5	77892573	PP
5	77891493	PP
5	77892640	PP
5	77841392	PP
5	77868354	PP
5	77843821	PP
5	77901235	PP
5	77883756	PP
5	77886420	PP
5	77886612	PP
5	77876797	PP
5	77841886	PP
5	77885156	PP
5	77845147	PP
5	77862156	PP
5	77866413	PP
5	77840575	PP
5	77880391	PP
5	77875732	PP
5	77882816	PP
5	77882090	PP
5	77853084	PP
5	77883069	PP
5	77834161	PP
5	77821975	PP
5	77839913	PP
5	77849927	PP
5	77848138	PP
5	77826346	PP
5	77847957	PP
5	77890099	PP
5	77907628	PP
5	77862388	PP
5	77859309	PP
5	77837898	PP
5	77868334	PP
5	77882060	PP
5	77874205	PP
5	77839453	PP
5	77866228	PP
5	77876884	PP
5	77846683	PP
5	77874443	PP
5	77859671	PP
5	77863820	PP
5	77822474	PP
5	77887723	PP
5	77828816	PP
5	77879234	PP
5	77881710	PP
5	77846554	PP
5	77846722	PP
5	77856656	PP
5	77913661	PP
5	77841243	PP
5	77887738	PP
5	77842904	PP
5	77828261	PP
5	77829440	PP
5	77837789	PP
5	77858427	PP
5	77902550	PP
5	77849433	PP
5	77894746	PP
5	77890217	PP
5	77846540	PP
5	77842072	PP
5	77843876	PP
5	77851370	PP
5	77878708	PP
5	77895298	PP
5	77894770	PP
5	77844030	PP
5	77895217	PP
5	77893970	PP
5	77859646	PP
5	77846387	PP
5	77837260	PP
5	77880332	PP
5	77876441	PP
5	77875740	PP
5	77825167	PP
5	77834827	PP
5	77874971	PP
5	77874854	PP
5	77829521	PP
5	77870700	PP
5	77835354	PP
5	77837938	PP
5	77904526	PP
5	77853085	PP
5	77898383	PP
5	77907308	PP
5	77884790	PP
5	77897343	PP
5	77861824	PP
5	77870977	PP
5	77894911	PP
5	77831071	PP
5	77828027	PP
5	77876324	PP
5	77880436	PP
5	77886496	PP
5	77874940	PP
7	45963114	PP
7	45992015	PP
7	46006323	PP
7	45977282	PP
7	45994256	PP
7	45986651	PP
7	45973419	PP
7	45981244	PP
7	45978060	PP
7	45961075	PP
7	45977656	PP
7	45968087	PP
7	45988476	PP
7	45985588	PP
7	45984879	PP
7	45978059	PP
7	45996148	PP
7	45983129	PP
7	46010100	PP
7	45990641	PP
7	45979023	PP
7	45974375	PP
7	45993924	PP
7	45992310	PP
7	46008110	PP
7	45977352	PP
7	45972977	PP
7	46002020	PP
7	45970037	PP
7	45980751	PP
7	45964807	PP
7	45992327	PP
7	45987430	PP
7	45981501	PP
2	218674697	DBP
2	218673765	DBP
2	218680529	DBP
2	218683154	DBP
2	218667836	DBP
2	218676890	DBP
2	218670945	DBP
2	218675533	DBP
2	218675144	DBP
2	218667372	DBP
2	218675199	DBP
2	218670771	DBP
2	218668732	DBP
4	81184341	SBP
4	81169912	SBP
4	81170475	SBP
4	81174592	SBP
4	81168620	SBP
4	81181072	SBP
4	81164723	SBP
4	81167309	SBP
4	81182554	SBP
1	89370865	SBP
1	89422472	SBP
1	89360520	SBP
1	89307986	SBP
1	89362631	SBP
1	89356844	SBP
1	89412188	SBP
1	89362611	SBP
1	89281529	SBP
1	89317572	SBP
1	89360157	SBP
1	89426065	SBP
1	89360158	SBP
1	89359789	SBP
1	89361767	SBP
1	89440675	SBP
1	89423623	SBP
1	89363264	SBP
1	89376336	SBP
1	89408394	SBP
1	89405332	SBP
1	89440896	SBP
1	89359543	SBP
1	89366468	SBP
1	89398254	SBP
1	89214454	SBP
1	89306655	SBP
1	89198985	SBP
1	89385758	SBP
1	89358186	SBP
1	89378887	SBP
1	89402348	SBP
1	89401058	SBP
1	89151598	SBP
1	89360289	SBP
1	89419861	SBP
1	89370713	SBP
1	89153855	SBP
1	89417695	SBP
1	89370336	SBP
1	89416738	SBP
6	121777127	PP
6	121783694	PP
6	121777121	PP
6	121784914	PP
6	121780393	PP
6	121786153	PP
6	121771621	PP
6	121782903	PP
6	121778862	PP
6	121783294	PP
6	121785691	PP
6	121780762	PP
6	121781390	PP
6	121783829	PP
6	121777942	PP
10	104879855	SBP
10	104898126	SBP
10	104776205	SBP
10	104680137	SBP
10	104954777	SBP
10	104873761	SBP
10	104594507	SBP
10	104637508	SBP
10	104928914	SBP
10	104910959	SBP
10	104659852	SBP
10	104741031	SBP
10	104692633	SBP
10	104604916	SBP
10	104723620	SBP
10	104778443	SBP
10	104616663	SBP
10	104913653	SBP
10	104869038	SBP
10	104789475	SBP
10	104749705	SBP
10	104942244	SBP
10	104713113	SBP
10	104878543	SBP
10	104938590	SBP
10	104766120	SBP
10	104665267	SBP
10	104713162	SBP
10	104627230	SBP
10	104739677	SBP
10	104598995	SBP
10	104864678	SBP
10	104835919	SBP
10	104784918	SBP
10	104657248	SBP
10	104789580	SBP
10	104613020	SBP
10	104939215	SBP
10	104729249	SBP
10	104595849	SBP
10	104656039	SBP
10	104625970	SBP
10	104737697	SBP
10	104957629	SBP
10	104749244	SBP
10	104612941	SBP
10	104851889	SBP
10	104886374	SBP
10	104841479	SBP
10	104795885	SBP
10	104825665	SBP
10	104824387	SBP
10	104794086	SBP
10	104959188	SBP
10	104766891	SBP
10	104661881	SBP
10	104958900	SBP
10	104661245	SBP
10	104776527	SBP
10	104666757	SBP
10	104780038	SBP
10	104660004	SBP
10	104792250	SBP
10	104856764	SBP
10	104748009	SBP
10	104815827	SBP
10	104684544	SBP
10	104697516	SBP
10	104696990	SBP
10	104769709	SBP
10	104769392	SBP
10	104901031	SBP
10	104815871	SBP
10	104864614	SBP
10	104913940	SBP
10	104940946	SBP
10	104806898	SBP
10	104707016	SBP
10	104884208	SBP
10	104614350	SBP
10	104764271	SBP
10	104871204	SBP
10	104719096	SBP
10	104673097	SBP
10	104897901	SBP
10	104675802	SBP
10	104655350	SBP
10	104657469	SBP
10	104646044	SBP
10	104931584	SBP
10	104648482	SBP
10	104682602	SBP
10	104877302	SBP
10	104929716	SBP
10	104677126	SBP
10	104769275	SBP
10	104662215	SBP
10	104591393	SBP
10	104828026	SBP
10	104685299	SBP
10	104694654	SBP
10	104652323	SBP
10	104639651	SBP
10	104793648	SBP
10	104739179	SBP
10	104721962	SBP
10	104846178	SBP
10	104850835	SBP
10	104765494	SBP
10	104898337	SBP
10	104604563	SBP
10	104689665	SBP
10	104721126	SBP
