sentinel	min	max	length
rs10057188	77821975	77913661	91687
rs10260816	45961075	46010100	49026
rs1063281	218667372	218683154	15783
rs10857147	81164723	81184341	19619
rs10922502	89151598	89440896	289299
rs11154027	121771621	121786153	14533
rs11191548	104591393	104960464	369072
rs112184198	102595108	102620555	25448
rs11222084	130268147	130280725	12579
rs112557609	56524552	56632340	107789
rs113144535	16286396	16286396	1
rs11413924	54434813	54445218	10406
rs11431123	89941549	90091782	150234
rs11636952	75065644	75140854	75211
rs11643209	75312548	75491327	178780
rs11690961	46357133	46363336	6204
rs1173727	32815028	32832474	17447
rs1216743	100550330	100610546	60217
rs12408022	217716862	217724264	7403
rs12476527	26911509	26932796	21288
rs1250259	216287093	216306635	19543
rs12628032	19960184	19989612	29429
rs12693302	183210447	183213987	3541
rs12705390	106410777	106416467	5691
rs12906962	95312071	95312071	1
rs12917707	20352863	20367690	14828
rs12921187	4922201	4952598	30398
rs13021222	165039647	165095713	56067
rs13107325	103146888	103198082	51195
rs13112725	106910958	106911742	785
rs13139571	156614184	156677592	63409
rs13205180	51832494	51840315	7822
rs1322639	169586887	169587148	262
rs13238550	131015852	131192213	176362
rs13420463	37498688	37559743	61056
rs139236208	94866377	94880912	14536
rs139385870	1678911	1832825	153915
rs140091914	31690876	31823477	132602
rs1421811	32699586	32716474	16889
rs143112823	154707966	154713624	5659
rs1438896	145634153	145728994	94842
rs1446468	164963486	165011827	48342
rs151225441	63424211	63552598	128388
rs1530440	63501848	63549345	47498
rs1566497	169682578	169717148	34571
rs167479	11526765	11526765	1
rs1794519	32577633	32679326	101694
rs1799945	26091179	26128410	37232
rs1801131	11841945	11854476	12532
rs1848797	64552934	64564892	11959
rs1887320	10965998	10974785	8788
rs2107595	19046177	19052733	6557
rs2118181	48699486	48939888	240403
rs2289081	20878105	20881840	3736
rs2289125	89224453	89224718	266
rs2421647	169091569	169173670	82102
rs2521501	91418297	91439417	21121
rs2579519	96407037	96803904	396868
rs2760061	228191075	228212159	21085
rs2773469	115789375	115805056	15682
rs2782980	115781527	115781547	21
rs284278	10789634	10798489	8856
rs2901761	95892659	95903188	10530
rs35199222	80987012	81052947	65936
rs35444	115552437	115556307	3871
rs36083386	152308973	152405910	96938
rs365990	23861811	23865885	4075
rs3774372	41750260	42065005	314746
rs3820068	15790974	15812665	21692
rs3824869	47377283	47462140	84858
rs3889199	59653742	59690602	36861
rs3918226	150690176	150690176	1
rs42377	92243672	92283098	39427
rs4308	61545779	61559625	13847
rs4360494	38434306	38461821	27516
rs4364717	21796220	21801776	5557
rs4454254	141047828	141065441	17614
rs449789	159668662	159734491	65830
rs55701159	25134011	25288146	154136
rs55780018	208521512	208532008	10497
rs55892892	11827796	11905974	78179
rs56153133	11858036	11895795	37760
rs59476975	47749708	48170802	421095
rs6026739	57701709	57767727	66019
rs6081613	19455985	19479796	23812
rs60991988	54799245	54801549	2305
rs6108168	8616641	8635551	18911
rs61818802	113060432	113247563	187132
rs62012628	79066653	79070000	3348
rs62434120	150975312	151008874	33563
rs6271	136522274	136535677	13404
rs6442105	48172687	48204768	32082
rs6454092	79480458	79822924	342467
rs6482423	18698640	18725053	26414
rs6487543	26438189	26438189	1
rs6595838	127803816	127868199	64384
rs661348	1905292	1905292	1
rs6668533	113064468	113228623	164156
rs66887589	120257739	120574874	317136
rs67330701	69079707	69079707	1
rs6911827	22109189	22136262	27074
rs7125196	61272565	61278918	6354
rs7137828	111826477	112083162	256686
rs7178615	66866754	66874460	7707
rs7226020	6470598	6474096	3499
rs7236548	43092068	43099143	7076
rs72765298	127900996	127988241	87246
rs72812846	173301427	173392398	90972
rs740698	60760456	60771108	10653
rs74181299	65276452	65298282	21831
rs743757	50424182	50537682	113501
rs7500448	83045790	83045790	1
rs7592578	191287683	191471395	183713
rs76206723	40394497	40477363	82867
rs76326501	43165179	43196694	31516
rs77431689	7253184	7257990	4807
rs77491205	127197741	127197741	1
rs7901551	18418804	18425999	7196
rs79146658	179721046	179799576	78531
rs79253921	120393617	120475358	81742
rs79380229	19709427	19730845	21419
rs7973748	20154121	20210632	56512
rs80335285	44967530	45244074	276545
rs8258	117256384	117283676	27293
rs9313772	157802270	157870062	67793
rs9323988	98532540	98597422	64883
rs9337951	30317073	30317073	1
rs9349379	12903957	12903957	1
rs9372498	118567764	118612943	45180
rs953492	243458922	243501763	42842
rs9662255	9434969	9443340	8372
rs9687065	148347543	148406386	58844
rs9827472	56567175	56733738	166564
rs9859176	133882270	134000025	117756
rs9888615	53322999	53377540	54542
