snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs1027813	1.14281153456602e-11	4.31566659310999e-06
rs1044309	8.56865844934964e-13	0.000101679971258121
rs10455356	3.82137597434527e-05	2.4016942680271e-09
rs10943585	1.0133767655933e-09	1.20171058141187e-17
rs10943605	2.10731941088889e-05	7.05441331944244e-09
rs10943609	0.000420544206208388	3.59174455724514e-10
rs10943612	3.18100146068034e-08	1.71761186157507e-07
rs10943613	1.58597695602629e-31	2.17865520151461e-06
rs11754419	1.85079817332229e-14	5.22909085974755e-06
rs12193319	5.13547396491288e-06	2.06753246516076e-09
rs12195716	4.92496533141853e-08	4.80393499578849e-18
rs12660770	7.21442389841942e-05	5.53981782115992e-11
rs13191068	3.20855842981918e-08	2.27426798530302e-07
rs13202531	4.84948843589873e-05	1.073201885313e-09
rs1354831	4.44044682238452e-07	1.19987973215944e-08
rs1354832	1.31366006485887e-05	1.0609393462099e-10
rs1507154	1.09519507697023e-07	5.70333808960159e-19
rs1538233	4.75584436675926e-10	3.46631588464393e-06
rs1538235	2.03099743519474e-06	1.46313943237778e-08
rs1542977	3.36071313397999e-09	1.00176849785333e-07
rs1547731	1.45431232790773e-09	1.29317313185549e-09
rs1567167	3.0273574699591e-07	5.02637831732518e-09
rs1567168	6.10507853072282e-08	4.92244268716798e-19
rs1572584	5.44180027903239e-08	1.31940841971944e-07
rs1572585	1.82718985052124e-07	1.00948242345565e-07
rs1890229	8.12490586419669e-05	9.05586527520373e-10
rs1960542	8.65243548665186e-05	1.09734373589796e-10
rs1984195	0.00157002653406769	1.34091355325293e-09
rs2050659	8.35190155873675e-13	6.36637883432173e-07
rs2050660	2.71937396060594e-11	1.60610006792711e-07
rs2050661	3.58178458296564e-05	2.280301309123e-09
rs2050662	5.18637651806723e-16	0.00012934728831092
rs2050663	9.80337800873197e-15	6.18604221771512e-09
rs2095724	0.00070509936211271	6.02204657393496e-10
rs2152951	0.0472655508871536	5.86338547668263e-11
rs2174739	3.01886971357615e-05	1.921928134003e-09
rs2174742	4.41468580171454e-08	3.29924948159565e-08
rs2174743	5.41774302311112e-06	2.86323912553966e-08
rs2202659	2.45471943436014e-08	1.92891334615012e-19
rs3805747	2.97315553507655e-09	1.16469807935277e-06
rs4147183	0.00011444808050759	1.45148593623494e-10
rs4415132	0.000102928679257741	1.55858687333467e-10
rs4421161	2.66772342962215e-05	4.84685174672894e-11
rs4565265	0.000588040350196424	5.62379892676065e-10
rs4628052	1.17756270233342e-10	9.28001222199414e-17
rs4706077	3.72812499520221e-08	1.74279632011566e-08
rs4706079	0.000581353743414322	3.73681350387777e-11
rs4706080	6.50006133915846e-13	1.97231823240954e-06
rs4706742	0.00142283468936283	1.41648576885351e-11
rs4706747	2.01182064286411e-10	4.73442417393622e-06
rs55755815	0.000126605303893508	2.61578119119961e-10
rs56057971	4.29378163673345e-08	3.36268635190529e-08
rs6454092	0.000836587169892885	7.14504532404602e-10
rs6912683	0.0067709560995469	4.66103186811359e-12
rs6913028	1.74971297119936e-09	2.72354598391517e-18
rs6915558	3.69056702255684e-20	0.0128581986032183
rs6926537	0.00446574795264877	1.25734653187562e-11
rs6937465	1.99741216142484e-07	6.67436321567826e-09
rs6940637	0.000532183663761215	1.78567170806701e-10
rs7742034	3.24278774554292e-11	4.1299712304075e-08
rs7742431	1.81933469235209e-26	3.53428235008895e-06
rs7749916	5.23803687188507e-13	5.56153424622448e-11
rs7753531	2.53707429321433e-38	8.16376071207973e-06
rs7756858	7.46781657032185e-07	3.60333675750719e-09
rs7762022	1.6412726359371e-09	1.50052005181951e-17
rs7767100	2.74972088300851e-14	3.48657585585997e-10
rs7767711	6.28543975091255e-46	0.00348732227707457
rs9341754	5.97393313832563e-06	2.05084470177276e-09
rs9343827	2.54930046047781e-09	6.00924275441519e-18
rs9343843	4.34180672752966e-05	5.90299484596846e-10
rs9343844	0.000191960240778496	1.63947604043796e-10
rs9343848	3.40588019762588e-05	3.58599872578681e-11
rs9343856	6.76571212382267e-05	3.30241086775706e-10
rs9343860	0.000561612663019199	4.7965688170236e-10
rs9343863	2.81997293644074e-14	1.48195714360498e-05
rs9350794	7.93491136027447e-07	2.37514543743824e-09
rs9350799	3.87171075467448e-39	0.897409100589204
rs9350800	3.95168932446832e-11	6.3632559536547e-08
rs9352665	8.46757022438564e-07	2.74159559584655e-09
rs9352666	1.69599179042332e-07	7.46270015380831e-09
rs9352667	0.00377545270746099	1.06299155669343e-11
rs9352669	1.31270439418951e-08	9.17303327729839e-08
rs9352670	0.000172111984895895	1.93765447238604e-10
rs9352675	0.00970613089516621	9.05121842797386e-12
rs9352676	0.000184127708032097	1.39752044451442e-10
rs9352683	4.6713379028552e-07	1.86173017718788e-08
rs9352686	3.2980976827061e-13	1.80303254220471e-05
rs9359354	0.000207667731327301	2.73429323147899e-10
rs9359359	5.81358908036171e-33	1.4374411905597e-05
rs9361443	8.49764845528781e-10	1.47505110505828e-17
rs9361451	0.000135482388406504	6.74180554570609e-11
rs9361454	0.000121044658394105	1.53514692894953e-10
rs9361460	1.53193906912676e-08	1.09623062254768e-07
rs9361466	1.30378626355941e-05	8.30040292693872e-10
rs9361467	2.7232152951664e-05	2.86723137981093e-11
rs9361480	3.80823106757408e-10	1.54681246397815e-06
rs9361482	6.99995035731482e-41	0.0216184103598731
rs9361484	6.19296513459433e-14	6.74763284999082e-06
rs9361488	6.87469822284685e-11	1.39430569988183e-08
rs9361489	2.58359637890761e-14	6.41131423383239e-10
rs9443621	4.2519939919414e-08	1.92234247707198e-08
rs9443622	7.87118811717326e-10	6.4127640814244e-07
rs9443626	8.87275163433344e-07	2.65586779800897e-09
rs9443632	9.02551574389757e-06	5.26597993253511e-09
rs9443637	1.40928180013792e-37	0.00581828971777724
rs9443638	3.28877978622128e-10	3.36105566305215e-06
rs9443643	2.20570090880683e-13	2.16778374563848e-11
rs9443645	2.37015799843126e-34	1.96786209552548e-28
rs9448580	2.31663624063166e-10	5.80940538443699e-07
rs9448584	0.918452289351034	3.11651561835441e-13
rs9448587	0.000137106905427668	1.17098981286772e-10
rs9448588	1.53193906912676e-08	1.09623062254768e-07
rs9448590	0.000178003218252707	1.42957817784511e-10
rs9448591	9.64415914845918e-07	5.85554331180594e-09
rs9448596	8.87275163433344e-07	2.65586779800897e-09
rs9448607	4.83586944871691e-37	0.0584759463462035
rs9448610	1.09875765822523e-31	1.5805757318417e-06
rs946022	1.30864452018753e-09	3.02954956644847e-06
rs971994	1.10379531279898e-07	1.60261043442029e-08
