snp	SNP.PP.H4.abf
rs1027813	1.85071335897077e-05
rs1044309	0.000105057153613553
rs10455356	0.00036663759143222
rs10943585	1.30863146933535e-05
rs10943605	0.00406034359871906
rs10943609	0.00831185283566603
rs10943612	3.05837107664534e-08
rs10943613	3.11903396819905e-23
rs11754419	7.07192288880142e-05
rs12193319	0.00455754055870225
rs12195716	0.000141889390798796
rs12660770	0.000791508501260768
rs13191068	3.11788269983218e-06
rs13202531	9.88398351092625e-05
rs1354831	0.000202583687760277
rs1354832	0.0032059509066141
rs1507154	0.000266585812141399
rs1538233	4.87750183893926e-05
rs1538235	1.76205163058099e-07
rs1542977	2.33792577923416e-06
rs1547731	4.60938139037206e-05
rs1567167	0.00404617097240883
rs1567168	0.000237769750547038
rs1572584	1.19472841909372e-08
rs1572585	1.53311055933965e-07
rs1890229	7.55384613431667e-05
rs1960542	0.0915453308027227
rs1984195	0.0310308150881888
rs2050659	2.01778849370889e-05
rs2050660	7.30283875157239e-06
rs2050661	0.00100938061151537
rs2050662	1.0515500890532e-06
rs2050663	1.78331840260905e-08
rs2095724	0.00100938583719163
rs2152951	0.00136676502806406
rs2174739	0.000410315140675605
rs2174742	9.59260009729794e-06
rs2174743	0.00769898878619649
rs2202659	8.25791631970275e-05
rs3805747	0.000243968100887288
rs4147183	0.121089459793921
rs4415132	0.0776227230920587
rs4421161	0.148759506181826
rs4565265	0.000900786288477382
rs4628052	4.75089620743409e-06
rs4706077	4.42191865100578e-05
rs4706079	0.00339096032439267
rs4706080	1.64687357950546e-05
rs4706742	0.002709851672772
rs4706747	1.36429911356821e-06
rs55755815	0.00399681449153566
rs56057971	8.82143822518051e-06
rs6454092	0.00119761736606293
rs6912683	0.00270306442915975
rs6913028	0.00017591757513464
rs6915558	6.01786145408977e-13
rs6926537	0.0696965736179695
rs6937465	0.00556631859039431
rs6940637	3.79702077987981e-06
rs7742034	4.21930544417096e-05
rs7742431	1.07272782645285e-11
rs7749916	1.73230026358487e-06
rs7753531	6.57101722821381e-24
rs7756858	3.56528568062399e-06
rs7762022	2.59780195698725e-06
rs7767100	5.57904933156989e-08
rs7767711	2.29770616475184e-27
rs9341754	0.00482118539945082
rs9343827	9.68925124142422e-05
rs9343843	0.000511072861830232
rs9343844	0.00379400131566496
rs9343848	0.002709851672772
rs9343856	0.00379400131566496
rs9343860	0.000803977281074914
rs9343863	3.98393430789137e-07
rs9350794	2.8510471176932e-06
rs9350799	1.674802270271e-24
rs9350800	0.00106378671494612
rs9352665	0.000216622629417043
rs9352666	0.000832509761602219
rs9352667	0.0950263936390158
rs9352669	0.000246836022391142
rs9352670	0.00401334417274785
rs9352675	0.0032059509066141
rs9352676	0.00326695195265491
rs9352683	0.00481663069344633
rs9352686	1.31057267220126e-05
rs9359354	0.00514756875192061
rs9359359	4.22835899168353e-24
rs9361443	0.000167790720384094
rs9361451	0.101761166771003
rs9361454	0.1280688346268
rs9361460	0.000288022458662608
rs9361466	0.000134141845889566
rs9361467	0.00216669674055733
rs9361480	3.42447092436651e-07
rs9361482	1.91441701494061e-26
rs9361484	1.23601687054974e-05
rs9361488	2.24226034875517e-05
rs9361489	2.8559415626447e-09
rs9443621	0.0196860887260829
rs9443622	5.87550894373609e-06
rs9443626	3.18801708355793e-06
rs9443632	4.90916101958699e-07
rs9443637	2.81054421985827e-24
rs9443638	0.000212944639001698
rs9443643	8.23717396933625e-08
rs9443645	2.0423807197505e-15
rs9448580	3.37882689058633e-06
rs9448584	0.0040853980709137
rs9448587	0.00241907276675343
rs9448588	0.000288022458662608
rs9448590	0.00400119278781113
rs9448591	0.00257814180866139
rs9448596	2.99125754135957e-06
rs9448607	4.10873449925601e-25
rs9448610	5.05708508020996e-23
rs946022	0.000660763120212316
rs971994	5.45782695700191e-07
