snp	pvalues.df1	MAF.df1	N.df1	V.df1	z.df1	r.df1	lABF.df1	pvalues.df2	MAF.df2	N.df2	V.df2	z.df2	r.df2	lABF.df2	internal.sum.lABF	SNP.PP.H4
SNP.1	1.607e-22	0.465665	754449	2.66350120643021e-06	9.7639933098838	0.999881636180255	43.1412668075445	1.89105e-13	0.465665	324	0.00620208586941378	7.35628080487426	0.783915151754772	20.4446901318187	63.5859569393632	0.00118024721037687
SNP.10	7.364e-23	0.457806	755501	2.66623713717682e-06	9.84278975273819	0.999881514612132	43.9141551388342	1.06581e-14	0.457806	324	0.00621711365238958	7.73114802919789	0.783504925751051	22.6502055443938	66.564360683228	0.0231994288705297
SNP.100	2.219e-22	0.459746	751687	2.67803972256444e-06	9.73122698323004	0.999880990177354	42.8246021136509	7.78949e-14	0.459746	324	0.00621311001523239	7.4738280716145	0.78361417443334	21.1202557089436	63.9448578225944	0.00168982470733698
SNP.101	7.475e-23	0.438034	748278	2.71449574520041e-06	9.8412848855235	0.999879370297938	43.9082100430012	3.98156e-12	0.438034	324	0.00626912792354034	6.93783441356721	0.782088357346049	18.0605102954461	61.9687203384474	0.00023421572559595
SNP.102	2.131e-22	0.469697	750211	2.67574489988617e-06	9.7353418344693	0.999881092145209	42.8642246120603	6.65151e-14	0.469697	324	0.00619559647249537	7.49457189749998	0.784092431100576	21.2542377281062	64.1184623401665	0.0020101901461236
SNP.103	8.768e-23	0.470085	754616	2.65987598639914e-06	9.82522272323905	0.999881797263032	43.7402407809961	3.08849e-14	0.470085	324	0.00619501536219931	7.59455623726192	0.784108309962428	21.8461297970665	65.5863705780626	0.00872452090129332
SNP.104	1.285e-22	0.470464	755990	2.6548015726177e-06	9.78663607649941	0.999882022739271	43.3609636905098	1.12726e-13	0.470464	324	0.00619445506445449	7.42506329004401	0.7841236207295	20.8484564510444	64.2094201415541	0.00220160605504444
SNP.105	4.935e-23	0.461702	756438	2.65957440378203e-06	9.88296634347748	0.999881810663536	44.3091285816715	1.28801e-13	0.461702	324	0.00620926895940763	7.40739849241338	0.783719015340063	20.7355673686106	65.0446959502821	0.00507569229165721
SNP.106	2.321e-17	0.485043	754912	2.65168827324259e-06	8.47648482359036	0.999882161075505	31.3980681157414	5.26672e-08	0.485043	324	0.00617836820287071	5.4420624636406	0.784563467517923	10.8502885689328	42.2483566846742	6.38514751194436e-13
SNP.107	4.505e-23	0.456332	756460	2.66421543507419e-06	9.89209496489207	0.999881604444275	44.4002389987686	8.90119e-13	0.456332	324	0.00622028520992661	7.1465100124128	0.783418403944795	19.2407155295176	63.6409545282862	0.00124697610656167
SNP.108	1.932e-22	0.451271	748916	2.69613451978075e-06	9.74530386161235	0.999880186156198	42.9649985997781	9.6599e-13	0.451271	324	0.00623203172844482	7.13526765910771	0.783098118944541	19.1704080716956	62.1354066714737	0.000276698627890887
SNP.109	1.106e-20	0.474684	749574	2.67503992496376e-06	9.32536715383067	0.999881123469978	38.957354795216	6.3221e-12	0.474684	324	0.00618870486640366	6.87219601558209	0.7842807859322	17.7527561296829	56.7101109248989	1.21851533770892e-06
SNP.11	1.224e-21	0.463519	752955	2.67041707477912e-06	9.55599669720223	0.999881328881182	41.1335407896884	1.10961e-13	0.463519	324	0.0062058761991985	7.42715179336844	0.783811643437249	20.8527351021838	61.9862758918722	0.000238363816762255
SNP.110	1.489e-22	0.465066	754482	2.66382891500763e-06	9.77172160790161	0.999881621618878	43.2168075979357	1.61826e-13	0.465066	324	0.00620312026991601	7.37705760765115	0.783886901090069	20.5639695692369	63.7807771671726	0.00143410956535164
SNP.111	1.111e-22	0.463362	755925	2.66004790943301e-06	9.80134167866972	0.999881789623815	43.5059489984297	1.46446e-14	0.463362	324	0.00620616270351281	7.69060053670513	0.783803820538042	22.4133858803656	65.9193348787954	0.0121715572424522
SNP.112	1.263e-22	0.457806	753194	2.67440370392518e-06	9.7883825858973	0.999881151739747	43.3816917522051	1.06581e-14	0.457806	324	0.00621711365238958	7.73114802919789	0.783504925751051	22.6502055443938	66.031897296599	0.0136217022436549
SNP.113	7.119e-23	0.466102	755690	2.65880856202227e-06	9.84619238164501	0.999881844692903	43.9462694585828	5.03963e-14	0.466102	324	0.00620134272294632	7.53088826572048	0.783935449194562	21.4640774927647	65.4103469513475	0.00731636726005779
