rs10857147	81164723	81184341	19619	4
rs10922502	89151598	89440896	289299	1
rs11191548	104591393	104960464	369072	10
rs112184198	102595108	102620555	25448	10
rs11413924	54434813	54445218	10406	12
rs11431123	89941549	90091782	150234	12
rs11643209	75312548	75491327	178780	16
rs1173727	32815028	32832474	17447	5
rs12476527	26911509	26932796	21288	2
rs13021222	165039647	165095713	56067	2
rs13112725	106910958	106911742	785	4
rs13238550	131015852	131192213	176362	7
rs13420463	37498688	37559743	61056	2
rs139385870	1678911	1832825	153915	1
rs1421811	32699586	32716474	16889	5
rs1446468	164963486	165011827	48342	2
rs1801131	11841945	11854476	12532	1
rs2521501	91418297	91439417	21121	15
rs284278	10789634	10798489	8856	1
rs2901761	95892659	95903188	10530	10
rs35199222	80987012	81052947	65936	15
rs35444	115552437	115556307	3871	12
rs3820068	15790974	15812665	21692	1
rs55780018	208521512	208532008	10497	2
rs55892892	11827796	11905974	78179	1
rs56153133	11858036	11895795	37760	1
rs6482423	18698640	18725053	26414	10
rs6487543	26438189	26438189	1	12
rs6595838	127803816	127868199	64384	5
rs661348	1905292	1905292	1	11
rs6911827	22109189	22136262	27074	6
rs77431689	7253184	7257990	4807	19
rs77491205	127197741	127197741	1	6
rs7901551	18418804	18425999	7196	10
rs9859176	133882270	134000025	117756	3
rs9888615	53322999	53377540	54542	14
