rs10057188	77821975	77913661	91687	5
rs10260816	45961075	46010100	49026	7
rs11154027	121771621	121786153	14533	6
rs11222084	130268147	130280725	12579	11
rs112557609	56524552	56632340	107789	1
rs11690961	46357133	46363336	6204	2
rs1250259	216287093	216306635	19543	2
rs12628032	19960184	19989612	29429	22
rs12705390	106410777	106416467	5691	7
rs1322639	169586887	169587148	262	6
rs139236208	94866377	94880912	14536	12
rs140091914	31690876	31823477	132602	6
rs1566497	169682578	169717148	34571	4
rs2107595	19046177	19052733	6557	7
rs2118181	48699486	48939888	240403	15
rs2289081	20878105	20881840	3736	2
rs2289125	89224453	89224718	266	11
rs36083386	152308973	152405910	96938	6
rs365990	23861811	23865885	4075	14
rs3774372	41750260	42065005	314746	3
rs3889199	59653742	59690602	36861	1
rs42377	92243672	92283098	39427	7
rs4360494	38434306	38461821	27516	1
rs4454254	141047828	141065441	17614	8
rs449789	159668662	159734491	65830	6
rs6081613	19455985	19479796	23812	20
rs60991988	54799245	54801549	2305	4
rs7226020	6470598	6474096	3499	17
rs7236548	43092068	43099143	7076	18
rs72765298	127900996	127988241	87246	9
rs740698	60760456	60771108	10653	17
rs74181299	65276452	65298282	21831	2
rs7500448	83045790	83045790	1	16
rs76206723	40394497	40477363	82867	7
rs79253921	120393617	120475358	81742	8
rs79380229	19709427	19730845	21419	2
rs80335285	44967530	45244074	276545	17
rs8258	117256384	117283676	27293	11
rs9323988	98532540	98597422	64883	14
rs9337951	30317073	30317073	1	10
rs9349379	12903957	12903957	1	6
rs9662255	9434969	9443340	8372	1
