snp	SNP.PP.H4.abf
rs1107265	0.0259316094317254
rs11130250	0.000136548405127983
rs12490042	0.000115024368237633
rs12492113	0.00220148852739498
rs12494849	0.0549179249005874
rs13087550	0.000148865578823862
rs13099869	9.71065461300622e-05
rs1467913	0.0308834026794278
rs1467914	0.0460245747680481
rs2027854	9.29388910704652e-05
rs2073496	0.0359631992684538
rs2236954	0.0183165219969784
rs2236955	0.00271642090277021
rs2236956	7.81027945951239e-05
rs2236957	0.0207102062365842
rs2236958	8.16319779855811e-05
rs2236959	0.0192203010696784
rs2236961	0.000182656450893777
rs2236962	7.87804102022847e-05
rs2236963	0.000100608470681684
rs2236964	0.0611097074993782
rs2236965	0.0760354557043683
rs2236967	0.0001944949143996
rs2236968	0.000190257169227183
rs2236971	0.000112104977875193
rs2236973	0.0380827520156655
rs2236975	0.000125453670801972
rs2236979	0.0386324590839828
rs2236981	0.0358424887757979
rs2236983	0.000177393245423025
rs2236984	0.029592477133711
rs2236987	0.0441525263301646
rs2236988	0.00016389194363336
rs2282752	0.00311313943817272
rs2282753	0.017403011256717
rs2282754	0.0148540008710308
rs2282756	0.000921878299273416
rs2282758	0.000166977549830646
rs2282760	8.18130393589518e-05
rs2282762	0.0314917428209794
rs2298955	0.00482797246406536
rs4688719	7.5869397017442e-05
rs4688720	0.000103300189066987
rs6446206	0.0162633516785128
rs6786523	0.0534907374113577
rs6787890	0.00013820385053373
rs6788459	0.000103511326622517
rs71326932	0.000115139785000819
rs734767	0.0368834792015031
rs743756	0.0340980513266082
rs743757	0.0571651858853889
rs743857	0.0311034726119769
rs762895	8.3457823145535e-05
rs762897	3.76978950699292e-05
rs762898	5.65801580181106e-05
rs763030	0.0271121517510351
rs8180034	0.000153605343908397
rs916217	0.000143785834600486
rs929047	9.36253608573172e-05
rs9835537	0.0507294027327475
rs9867588	0.0367794785577753
