snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs1107265	1.26324926723861e-15	0.000744346011072694
rs11130250	6.05883293730388e-05	2.66111465857096e-10
rs12490042	6.7938301175098e-14	1.28305542019239e-08
rs12492113	3.7945658316017e-16	9.73962884797267e-15
rs12494849	1.93034502812306e-19	1.13187693389761e-19
rs13087550	0.0678849531764424	1.96074900993064e-12
rs13099869	2.59679935255418e-10	2.37632642922312e-10
rs1467913	1.08554033899996e-19	6.36517333755671e-20
rs1467914	1.56438532625117e-19	9.172928366248e-20
rs2027854	1.14608389732015e-07	2.69414897680939e-12
rs2073496	1.75193465114621e-15	0.00103229473632807
rs2236954	1.17186787705662e-15	0.000690501235514718
rs2236955	2.60773597735786e-14	8.15647305140606e-06
rs2236956	0.000373001644768112	1.20135620006782e-14
rs2236957	1.00889044012512e-15	0.000594469828079165
rs2236958	0.00038985624281613	1.25564115068041e-14
rs2236959	9.36310231970109e-16	0.000551703297494838
rs2236961	0.15813947422467	1.99293932484214e-12
rs2236962	0.0478446463252532	1.50134717707746e-12
rs2236963	0.0622939475406153	1.95476086610233e-12
rs2236964	2.52585769214895e-13	0.237693639519828
rs2236965	2.09922654555919e-13	0.253913500687063
rs2236967	7.94717635848334e-12	2.72212796520427e-06
rs2236968	7.77401960345222e-12	2.66281698178422e-06
rs2236971	2.41553860806228e-11	1.90242580680739e-06
rs2236973	7.25178988908644e-15	0.134383734894329
rs2236975	0.592473094472127	3.0854727904932e-13
rs2236979	1.4042667802111e-11	0.00191867215580369
rs2236981	1.30285302829221e-11	0.00178010892496728
rs2236983	2.10142411149805e-11	1.35504215681523e-15
rs2236984	1.15020494696226e-11	0.00157154341062776
rs2236987	2.94640049348858e-11	0.000599396053662795
rs2236988	5.3093111785318e-09	4.79028300496189e-09
rs2282752	1.51655496911501e-16	8.93601659711081e-05
rs2282753	8.4778159549547e-16	0.000499539453719457
rs2282754	4.46643500832716e-15	9.87022526501522e-05
rs2282756	4.47469032100555e-13	1.12947194255947e-07
rs2282758	2.98439678842973e-09	1.63399159976351e-08
rs2282760	8.05956775578257e-06	1.12683658788657e-09
rs2282762	1.12240897716238e-11	1.04851330521282e-05
rs2298955	4.63480364158495e-14	1.44967325409406e-05
rs4688719	8.65622540189773e-10	9.33891331063312e-09
rs4688720	1.84628863466004e-09	1.01086428301669e-08
rs6446206	2.85718812696629e-13	0.0118305594465282
rs6786523	1.78949616390718e-20	8.88043552871049e-21
rs6787890	0.000964916354016884	3.3155538698498e-15
rs6788459	1.27645879207191e-07	3.0006268796213e-12
rs71326932	2.05789823198056e-09	1.12672297372149e-08
rs734767	1.79676576562604e-15	0.00105871063230394
rs743756	1.23944377042623e-11	0.00169347184204105
rs743757	1.47291165380086e-13	0.178157119349758
rs743857	1.20893455131698e-11	0.00165178660813459
rs762895	0.000398576074818122	1.28372581032217e-14
rs762897	0.000197930581892235	9.76815211098836e-15
rs762898	1.51679864037359e-08	1.74888570037386e-11
rs763030	9.67698425142132e-25	2.5271937654236e-18
rs8180034	3.34524295182454e-11	3.04053708511133e-11
rs916217	0.0681917142468011	1.96960931603452e-12
rs929047	0.000778970273463816	1.71505945075593e-11
rs9835537	1.40056382736754e-13	0.16940623445091
rs9867588	2.91956221283661e-25	2.57001436574462e-17
