SNP	Gene	GeneID-Tissue	Trait	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	cond.PP.H4.abf
rs10922502	GBP3	ENSG00000117226.11_Adipose_Subcutaneous	SBP	1.03528605348169e-16	0.127792570846122	3.18192140418719e-16	0.39228680805635	0.479920621097527	0.550236795807959
rs10922502	GBP3	ENSG00000117226.11_Artery_Tibial	SBP	5.30634179338005e-17	0.0656311440177611	3.85913028977523e-17	0.0468438775006274	0.887524978481611	0.949865754620659
rs10922502	GBP3	ENSG00000117226.11_Breast_Mammary_Tissue	SBP	3.40037627437512e-16	0.420829738171763	8.36250739538986e-17	0.103018035289754	0.476152226538481	0.822128237446856
rs10922502	GBP3	ENSG00000117226.11_Lung	SBP	5.40104910701074e-18	0.00666158479390987	2.60565787683029e-16	0.320705872753733	0.672632542452357	0.67714339056625
rs10922502	GBP3	ENSG00000117226.11_Nerve_Tibial	SBP	2.10304633115693e-17	0.0259935458818808	5.32917186850536e-16	0.658367298182002	0.315639155936115	0.324062694452985
rs10922502	GBP3	ENSG00000117226.11_Skin_Sun_Exposed_Lower_leg	SBP	1.22982567638498e-16	0.151877399288998	2.33241746948254e-16	0.287481400955771	0.560641199755231	0.661037919854077
rs10922502	GBP3	ENSG00000117226.11_Thyroid	SBP	6.45396539596309e-16	0.80062305353022	2.61312084500175e-17	0.0322489861930061	0.167127960276777	0.838251178162699
rs10922502	GBP3	ENSG00000117226.11_Whole_Blood	SBP	1.36071153231057e-17	0.0168094697815915	6.43221895666922e-16	0.794411601926225	0.188778928292184	0.192006454995298
rs10922502	KYAT3	ENSG00000137944.17_Adipose_Subcutaneous	SBP	1.04821183166578e-27	1.29388089706612e-12	7.11663448222047e-16	0.878334112780524	0.121665887218184	0.121665887218341
rs10922502	KYAT3	ENSG00000137944.17_Adipose_Visceral_Omentum	SBP	3.56241654497753e-29	4.40091215055163e-14	7.3457281189251e-16	0.907378577553535	0.0926214224464219	0.0926214224464259
rs10922502	KYAT3	ENSG00000137944.17_Artery_Aorta	SBP	1.45442314753376e-24	1.80041872246669e-09	7.23231933884419e-16	0.895178175191492	0.104821823008092	0.104821823196815
rs10922502	KYAT3	ENSG00000137944.17_Artery_Tibial	SBP	2.57929664557561e-34	3.19018631294143e-19	3.94671568701515e-16	0.487634602396291	0.512365397603714	0.512365397603711
rs10922502	KYAT3	ENSG00000137944.17_Breast_Mammary_Tissue	SBP	2.7573659274539e-19	0.00034125093450353	3.56147604094195e-16	0.440207955186812	0.559450793878688	0.559641772156422
