SNP	Gene	GeneID-Tissue	Trait	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	cond.PP.H4.abf
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	1.47674184799356e-13	0.0692910034664248	1.7976151387041e-13	0.0834996634642856	0.847209333068963	0.910283811830218
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	2.45469306453021e-85	0.843822882053661	5.92286057597704e-88	0.00188174137011142	0.154295376576217	0.987951235143434
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	1.86213781928127e-86	0.0638611863040523	3.36072751723827e-87	0.0105999262996188	0.925538887396334	0.988676971679265
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	6.68511547512435e-89	0.0002310731795711	3.30001352879894e-87	0.010417251869366	0.989351674951068	0.989580340426766
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	1.96243143279354e-86	0.0676357263647278	3.00823131387409e-87	0.00944503076990812	0.922919242865363	0.989869806215244
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	4.74266807812296e-87	0.0163576777407902	9.57594786222109e-88	0.00232146708217355	0.981320855177047	0.997639927614296
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	2.60607515800407e-86	0.0895861842138828	1.87165895780655e-87	0.0055291117854959	0.90488470400063	0.993926814719171
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	1.5784068855773e-87	0.0054439970819835	6.88890875124283e-87	0.0227883917510997	0.971767611166915	0.977086869231859
rs11222084	ADAMTS8	ENSG00000134917.9_Adipose_Visceral_Omentum	PP	1.36631788024139e-113	0.0102701396866552	3.26100677927708e-114	0.00146291924529645	0.988266941068064	0.998521900466019
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Aorta	PP	3.96568428002375e-112	0.301809723602909	3.83223358816368e-114	0.00222056443032895	0.695969711966764	0.996819542601212
rs11222084	ADAMTS8	ENSG00000134917.9_Artery_Tibial	PP	4.74436660931011e-112	0.359133485259914	9.77719724737312e-115	9.93356022602771e-05	0.640767179137837	0.999844997983237
rs11222084	ZBTB44-DT	ENSG00000175773.12_Skin_Not_Sun_Exposed_Suprapubic	PP	1.26714548414196e-111	0.947031183091028	1.41166860144416e-115	5.25881669638498e-05	0.0529162287420147	0.999007186302571
rs11690961	EPAS1	ENSG00000116016.13_Artery_Aorta	PP	1.8353421099672e-15	0.145941534266998	1.07405302706086e-17	0	0.854058465732999	1
rs1250259	ATIC	ENSG00000138363.14_Muscle_Skeletal	PP	7.17505165498939e-28	0.016422987125066	2.76481732037244e-28	0.00535016790938603	0.978226844965546	0.99456049923966
