SNP	Gene	GeneID-Tissue	Trait	nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	1	96	rs10076149	rs13181597	3.39744536235365e-14	0.0982700042551311	5.29490238010292e-14	0.151653178922894	0.750076816821886	1	1
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	1	19	rs11977526	rs11977526	1.8699444205979e-45	0.899749586209901	5.35226058375169e-48	0.00237957242418604	0.0978708413659138	1	1
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	2	19	rs1543270	rs11977526	2.06947413399383e-05	0.932309293569329	5.92336580406341e-08	0.00253824492608231	0.0651317075295902	2	1
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	1	19	rs11977526	rs2949838	1.30641895465884e-46	0.0628601524688752	3.97717427955499e-47	0.0172970377659169	0.919842809765213	1	1
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	2	19	rs1543270	rs2949838	2.04022706830049e-06	0.0919133332242907	6.21113050416167e-07	0.0262177464359152	0.881866258999675	2	1
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	1	19	rs11977526	rs1117457	7.88486274068858e-50	3.79391061579683e-05	3.97980138362113e-47	0.0171838075528434	0.982778253340994	1	1
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	2	19	rs1543270	rs1117457	2.85280451071797e-09	0.000128520386623339	1.43992301608087e-06	0.0629955619473704	0.936874474890187	2	1
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	1	19	rs11977526	rs10260816	3.33033385017748e-46	0.160243613159364	6.74358502997898e-47	0.0308298377179069	0.808926549122727	1	1
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	2	19	rs1543270	rs10260816	3.06241280826254e-06	0.137963353829356	6.20107235444715e-07	0.0262646297775416	0.835768333873059	2	1
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	1	19	rs11977526	rs11977526	4.14029299727322e-47	0.0199215916262004	1.02292548634398e-47	0.00296772590217009	0.977110682471625	1	1
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	2	19	rs1543270	rs11977526	4.57816348057641e-06	0.206248741663848	1.13110838001444e-06	0.0494684903509898	0.744277058713302	2	1
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	1	19	rs11977526	rs11977526	2.58313967771242e-46	0.124291333503966	2.13806000450737e-47	0.00855326021445356	0.867155406281587	1	1
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	2	19	rs1543270	rs11977526	8.43855428726749e-06	0.380161436042005	6.98457600769326e-07	0.0302868075532487	0.589542619392858	2	1
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	1	19	rs11977526	rs2342396	1.50741928796136e-47	0.00725315611334796	1.07937184159538e-46	0.0500500734786559	0.942696770407997	1	1
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	2	19	rs1543270	rs2342396	2.15039607572078e-07	0.00968765066118715	1.53976865690054e-06	0.0675218335122207	0.922788761018328	2	1
