SNP	Gene	GeneID-Tissue	Trait	nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	1	12	rs1035673	rs2552520	6.46247861370315e-16	0.0675586885917201	1.99511482018478e-16	0.0190300884854779	0.913411222922803	1	1
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	1	12	rs1035673	rs2571461	2.67339885722199e-17	0.00279476856594232	1.76056825935762e-16	0.0164434398818735	0.980761791552184	1	1
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	1	12	rs1035673	rs1035672	2.98380335099187e-16	0.0311926512191705	1.71344738540131e-16	0.0160067611315055	0.952800587649321	1	1
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	1	12	rs1035673	rs2571445	1.76780241173871e-17	0.00184805892236308	2.10214565286984e-16	0.0200195454242248	0.978132395653409	1	1
rs11636952	CPLX3	ENSG00000213578.5_Esophagus_Mucosa	DBP	1	15	rs11636952	rs11636952	3.24682996170715e-97	2.70519634387148e-05	6.75703529842776e-95	0.00363716041482035	0.996335787621744	1	1
rs11636952	CSK	ENSG00000103653.16_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs3765066	1.2102345111861e-95	0.00100834414290249	4.57635956658274e-94	0.036203772902697	0.962787882954389	1	1
rs11636952	CSK	ENSG00000103653.16_Artery_Aorta	DBP	1	15	rs11636952	rs3784789	1.67008033347651e-93	0.139147884717586	2.80622959350919e-94	0.0217026669252013	0.839149448357225	1	1
rs11636952	CSK	ENSG00000103653.16_Heart_Left_Ventricle	DBP	1	15	rs11636952	rs12905199	6.51290473739274e-95	0.00542642709700583	3.74492744951229e-94	0.0292714116869236	0.965302161216081	1	1
rs11636952	CSK	ENSG00000103653.16_Lung	DBP	1	15	rs11636952	rs12905199	7.10479464090444e-96	0.000591957839283545	3.05989745441929e-94	0.0235427471125924	0.975865295048113	1	1
rs11636952	CSK	ENSG00000103653.16_Muscle_Skeletal	DBP	1	15	rs11636952	rs3765066	8.77608993459752e-93	0.731206952152114	9.60356828712676e-95	0.00747888025160001	0.261314167596272	1	1
rs11636952	CSK	ENSG00000103653.16_Thyroid	DBP	1	15	rs11636952	rs3765066	2.37412397460109e-93	0.19780744824135	7.12840760899416e-94	0.0579039454291399	0.744288606329522	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs3784789	1.89633098684411e-94	0.0157998654468607	3.69723763327552e-94	0.028894061476798	0.955306073076327	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Adipose_Visceral_Omentum	DBP	1	15	rs11636952	rs11630478	9.54275127938775e-94	0.0795083702440067	4.17754567929239e-94	0.0330315878987221	0.887460041857265	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Artery_Tibial	DBP	1	15	rs11636952	rs11630478	3.23535151052517e-93	0.269563271887817	3.39518768456103e-94	0.0268809399056621	0.703555788206528	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Breast_Mammary_Tissue	DBP	1	15	rs11636952	rs11630478	3.23867107903877e-93	0.269839851958598	3.6607033294281e-94	0.0290981528320851	0.701061995209321	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Lung	DBP	1	15	rs11636952	rs11630478	7.78887730400364e-94	0.0648954292468571	4.87745454254104e-94	0.0388454960104678	0.896259074742669	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Muscle_Skeletal	DBP	1	15	rs11636952	rs11630478	3.9602155305646e-96	0.000329957549381291	5.13307478365772e-94	0.0408501531188382	0.958819889331778	1	1
rs11636952	CYP1A1	ENSG00000140465.13_Nerve_Tibial	DBP	1	15	rs11636952	rs11630478	7.15136717354627e-93	0.595838173225063	1.30578929826566e-94	0.0100914447923951	0.39407038198255	1	1
rs11636952	EDC3	ENSG00000179151.11_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs3784789	1.08824357643912e-93	0.0906703639841016	3.45375334690545e-94	0.0270113728022841	0.882318263213605	1	1
rs11636952	FAM219B	ENSG00000178761.14_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs12902690	4.2463074370104e-96	0.000353794177367854	1.01597837522026e-92	0.846186743667496	0.153459462155148	1	1
rs11636952	FAM219B	ENSG00000178761.14_Esophagus_Mucosa	DBP	1	15	rs11636952	rs12902690	1.13992159519411e-94	0.00949760772195739	2.63068066000909e-93	0.217637528628738	0.772864863649292	1	1
rs11636952	FAM219B	ENSG00000178761.14_Esophagus_Muscularis	DBP	1	15	rs11636952	rs12902690	1.14247177288227e-92	0.95188553124983	1.74491839852988e-95	0.00136032419603212	0.0467541445541354	1	1
rs11636952	FAM219B	ENSG00000178761.14_Muscle_Skeletal	DBP	1	15	rs11636952	rs11636952	2.50356812356068e-93	0.208592486036089	7.58533685535462e-95	0.00474663517584742	0.786660878788065	1	1
rs11636952	LMAN1L	ENSG00000140506.16_Esophagus_Mucosa	DBP	1	15	rs11636952	rs11636952	6.70329028053286e-98	5.58505267373848e-06	6.50842092574147e-95	0.00342956156451821	0.996564853382795	1	1
rs11636952	MPI	ENSG00000178802.17_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs12902690	7.10167543907869e-95	0.00591697953380238	4.55017060200389e-93	0.377879064561479	0.616203955904711	1	1
rs11636952	MPI	ENSG00000178802.17_Adipose_Visceral_Omentum	DBP	1	15	rs11636952	rs3765066	3.18685608220971e-117	2.65522725973165e-25	1.19045359971462e-92	0.991846761030357	0.00815323896966786	1	1
rs11636952	MPI	ENSG00000178802.17_Adipose_Visceral_Omentum	DBP	2	15	rs11636952	rs11630478	4.18112143829597e-98	3.48363005194576e-06	1.22561451475732e-93	0.100316486579153	0.8996800297908	1	2
rs11636952	MPI	ENSG00000178802.17_Artery_Aorta	DBP	1	15	rs11636952	rs3765066	2.73839455339594e-93	0.228157773006052	2.41463770004763e-94	0.0186118366200457	0.753230390373894	1	1
rs11636952	MPI	ENSG00000178802.17_Artery_Tibial	DBP	1	15	rs11636952	rs3765066	5.49676781470905e-94	0.045798013357136	7.06213402628767e-94	0.0570460319742653	0.897155954668608	1	1
rs11636952	MPI	ENSG00000178802.17_Breast_Mammary_Tissue	DBP	1	15	rs11636952	rs11636952	2.04421379569083e-94	0.0170319965979581	8.50368372457285e-95	0.00512942875167431	0.977838574650367	1	1
rs11636952	MPI	ENSG00000178802.17_Esophagus_Gastroesophageal_Junction	DBP	1	15	rs11636952	rs3765066	2.45334897324558e-93	0.204408322916154	6.23742209429604e-94	0.0504787767145671	0.745112900369292	1	1
rs11636952	MPI	ENSG00000178802.17_Esophagus_Mucosa	DBP	1	15	rs11636952	rs12902690	3.78814772429782e-96	0.000315621190351077	4.06274370858633e-93	0.337174981395379	0.662509397414257	1	1
rs11636952	MPI	ENSG00000178802.17_Esophagus_Muscularis	DBP	1	15	rs11636952	rs3765066	8.44508356241099e-94	0.0703628137172646	2.8187096837824e-94	0.0216690111861231	0.907968175096613	1	1
rs11636952	MPI	ENSG00000178802.17_Lung	DBP	1	15	rs11636952	rs3765066	2.23257147784192e-96	0.000186013566171299	9.18224028438948e-93	0.764576143287813	0.235237843146007	1	1
rs11636952	MPI	ENSG00000178802.17_Nerve_Tibial	DBP	1	15	rs11636952	rs3765066	2.74719904394349e-132	2.2889134624271e-40	1.20021963444386e-92	0.999999939893032	6.01069606876616e-08	1	1
rs11636952	MPI	ENSG00000178802.17_Nerve_Tibial	DBP	2	15	rs11636952	rs11630478	1.80483988493188e-102	1.50375791635975e-10	6.96964537996174e-94	0.0561821104731886	0.943817889376424	1	2
rs11636952	MPI	ENSG00000178802.17_Skin_Not_Sun_Exposed_Suprapubic	DBP	1	15	rs11636952	rs12902690	8.83175029284487e-96	0.000735844466262959	2.19533877988996e-94	0.0163252631464087	0.982938892387324	1	1
rs11636952	MPI	ENSG00000178802.17_Skin_Sun_Exposed_Lower_leg	DBP	1	15	rs11636952	rs3765066	7.86679126610693e-97	6.55445934097612e-05	7.55841726239641e-93	0.629010957581115	0.370923497825479	1	1
rs11636952	MPI	ENSG00000178802.17_Stomach	DBP	1	15	rs11636952	rs3765066	4.09691980103778e-93	0.341347486551921	2.72026641613266e-94	0.0213902125420117	0.637262300906078	1	1
rs11636952	MPI	ENSG00000178802.17_Thyroid	DBP	1	15	rs11636952	rs12902690	1.45830811711894e-93	0.12150343052132	8.64607164091967e-94	0.0704212571475893	0.808075312331098	1	1
rs11636952	MPI	ENSG00000178802.17_Whole_Blood	DBP	1	15	rs11636952	rs3765066	2.24867650503717e-133	1.87355406095175e-41	1.20021956224246e-92	0.999999879615651	1.20384335238306e-07	1	1
rs11636952	MPI	ENSG00000178802.17_Whole_Blood	DBP	2	15	rs11636952	rs11630478	2.5938192377114e-102	2.16112035470778e-10	2.33511381196291e-94	0.0174907010464458	0.982509298737452	1	2
rs11636952	PPCDC	ENSG00000138621.11_Adipose_Visceral_Omentum	DBP	1	15	rs11636952	rs12594062	1.28705611112921e-93	0.107235042402822	5.49974793068949e-94	0.0441255643243785	0.848639393272809	1	1
rs11636952	PPCDC	ENSG00000138621.11_Artery_Tibial	DBP	1	15	rs11636952	rs12591513	1.45264838584649e-93	0.121031872585546	5.24515217118111e-94	0.042027719341158	0.836940408073302	1	1
rs11636952	PPCDC	ENSG00000138621.11_Esophagus_Gastroesophageal_Junction	DBP	1	15	rs11636952	rs3765066	4.89194952551155e-93	0.407587835731919	3.22467439149933e-94	0.0257340111782369	0.566678153089844	1	1
rs11636952	PPCDC	ENSG00000138621.11_Heart_Atrial_Appendage	DBP	1	15	rs11636952	rs12591513	6.11975083847952e-94	0.0509885882196144	6.70650579684231e-94	0.0540874699177641	0.89492394186262	1	1
rs11636952	PPCDC	ENSG00000138621.11_Nerve_Tibial	DBP	1	15	rs11636952	rs3765066	3.61596630172182e-93	0.301275365028267	4.62920282583732e-94	0.0372466726274325	0.661477962344292	1	1
rs11636952	PPCDC	ENSG00000138621.11_Skin_Not_Sun_Exposed_Suprapubic	DBP	1	15	rs11636952	rs12594062	6.7576892318339e-93	0.563037683481424	2.10357832837397e-94	0.0166860579616576	0.420276258556929	1	1
rs11636952	PPCDC	ENSG00000138621.11_Skin_Sun_Exposed_Lower_leg	DBP	1	15	rs11636952	rs12591513	4.21865914326018e-95	0.00351490574652298	9.26110653385242e-94	0.0753194290051409	0.921165665248323	1	1
rs11636952	PPCDC	ENSG00000138621.11_Whole_Blood	DBP	1	15	rs11636952	rs12905199	8.8194676456416e-93	0.734821099696209	8.79407811235961e-95	0.00681031976455311	0.258368580539248	1	1
rs11636952	RPP25	ENSG00000178718.6_Adipose_Subcutaneous	DBP	1	15	rs11636952	rs3765066	1.91595915259158e-107	1.59634035527769e-15	1.20019718800336e-92	0.999981200471198	1.87995288030062e-05	1	1
rs11636952	RPP25	ENSG00000178718.6_Adipose_Visceral_Omentum	DBP	1	15	rs11636952	rs3765066	4.39709871859044e-94	0.0366357817239021	8.54714324330947e-94	0.0694252774885603	0.893938940787545	1	1
rs11636952	RPP25	ENSG00000178718.6_Artery_Aorta	DBP	1	15	rs11636952	rs3765066	9.28335642879523e-103	7.73471421855068e-11	1.1485937535115e-92	0.956900047986699	0.0430999519359515	1	1
rs11636952	RPP25	ENSG00000178718.6_Artery_Tibial	DBP	1	15	rs11636952	rs3765066	6.68346216542871e-122	5.56853226918443e-30	1.17024063895109e-92	0.974971960866448	0.0250280391335406	1	1
rs11636952	RPP25	ENSG00000178718.6_Breast_Mammary_Tissue	DBP	1	15	rs11636952	rs12905199	1.0532616095912e-96	8.77557337159773e-05	3.82088317301155e-94	0.0298948296752585	0.970017414591019	1	1
rs11636952	RPP25	ENSG00000178718.6_Heart_Atrial_Appendage	DBP	1	15	rs11636952	rs12902690	3.53108120221159e-93	0.294202901623885	5.57724704088075e-94	0.0451472511128745	0.66064984726325	1	1
rs11636952	RPP25	ENSG00000178718.6_Lung	DBP	1	15	rs11636952	rs3765066	3.03668232685265e-107	2.53010537200465e-15	1.11303216379514e-92	0.927211437446359	0.0727885625536409	1	1
rs11636952	RPP25	ENSG00000178718.6_Muscle_Skeletal	DBP	1	15	rs11636952	rs3765066	7.83885990391415e-93	0.653118746663271	1.54534713890302e-94	0.0122061853231029	0.334675068013629	1	1
rs11636952	RPP25	ENSG00000178718.6_Nerve_Tibial	DBP	1	15	rs11636952	rs12902690	6.22046334075126e-102	5.18277054389972e-10	9.15413117153718e-94	0.074419300772215	0.925580698709503	1	1
rs11636952	RPP25	ENSG00000178718.6_Skin_Not_Sun_Exposed_Suprapubic	DBP	1	15	rs11636952	rs3765066	7.99565113898665e-93	0.666182291131926	2.01400836752861e-94	0.0161449853266923	0.317672723541385	1	1
rs11636952	RPP25	ENSG00000178718.6_Skin_Sun_Exposed_Lower_leg	DBP	1	15	rs11636952	rs12902690	1.08669903962177e-95	0.000905416761439451	8.3319174388702e-94	0.0675568598714025	0.931537723367171	1	1
rs11636952	RPP25	ENSG00000178718.6_Stomach	DBP	1	15	rs11636952	rs11630478	9.59384182439668e-93	0.799340468491711	1.16511872353528e-94	0.00932487604332845	0.191334655464966	1	1
rs11636952	RPP25	ENSG00000178718.6_Thyroid	DBP	1	15	rs11636952	rs3784789	2.66816578564604e-94	0.0222306447005237	4.21483120457126e-94	0.0332280812674571	0.944541274032027	1	1
rs11636952	SCAMP2	ENSG00000140497.16_Esophagus_Mucosa	DBP	1	15	rs11636952	rs12902690	4.65174602229807e-100	3.87574541338869e-08	1.1848474487038e-92	0.98716646319901	0.0128334980435486	1	1
rs11636952	SCAMP2	ENSG00000140497.16_Skin_Not_Sun_Exposed_Suprapubic	DBP	1	15	rs11636952	rs3765066	7.31120313053739e-93	0.609155398074258	1.47495879855852e-94	0.0115304450170309	0.379314156908698	1	1
rs11636952	SCAMP2	ENSG00000140497.16_Skin_Sun_Exposed_Lower_leg	DBP	1	15	rs11636952	rs12902690	9.9733163145411e-93	0.83095755393931	8.92307639182746e-95	0.00711067226609585	0.161931773794594	1	1
rs11636952	SCAMP2	ENSG00000140497.16_Whole_Blood	DBP	1	15	rs11636952	rs12902690	3.19579576985617e-102	2.66267563572355e-10	9.86994837463646e-93	0.821989114012246	0.178010885721474	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Artery_Aorta	DBP	1	15	rs11636952	rs12902690	4.13374485852159e-95	0.00344415679590761	6.41840805543867e-93	0.533844004035024	0.462711839169078	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Artery_Tibial	DBP	1	15	rs11636952	rs3765066	3.17372967138141e-102	2.64429058642271e-10	6.82270322081347e-93	0.567589703541669	0.432410296193896	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Lung	DBP	1	15	rs11636952	rs12594062	1.70941296741749e-94	0.0142425004209117	5.09874699782213e-94	0.0405914482785969	0.9451660513005	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Nerve_Tibial	DBP	1	15	rs11636952	rs3765066	2.43976797686445e-93	0.203276780390378	9.33546140677054e-94	0.0763405054228727	0.720382714186746	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Skin_Not_Sun_Exposed_Suprapubic	DBP	1	15	rs11636952	rs11636952	1.00682932656265e-92	0.838870851027809	4.18425587676081e-95	0.00317032395582105	0.157958825016378	1	1
rs11636952	SCAMP5	ENSG00000198794.11_Thyroid	DBP	1	15	rs11636952	rs12905199	5.26108718720071e-96	0.000438343676492417	3.98317229941735e-94	0.0312504038205985	0.968311252502898	1	1
