SNP	Gene	GeneID-Tissue	Trait	PPID	PP
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	PP.H0.abf	3.90784269848004e-15
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	PP.H1.abf	0.0656175841571295
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	PP.H2.abf	6.35731025931571e-16
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	PP.H3.abf	0.00975008958913663
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	PP.H4.abf	0.924632326253727
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	PP.H0.abf	1.95760016192397e-16
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	PP.H1.abf	0.00326832085564867
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	PP.H2.abf	5.77297930942605e-16
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	PP.H3.abf	0.00865022418232476
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	PP.H4.abf	0.988081454962025
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	PP.H0.abf	1.52012998448109e-15
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	PP.H1.abf	0.0253794039672203
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	PP.H2.abf	5.6059896798709e-16
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	PP.H3.abf	0.00839327997437102
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	PP.H4.abf	0.96622731605841
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	PP.H0.abf	1.71024758936264e-16
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	PP.H1.abf	0.00286609998345073
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	PP.H2.abf	6.54949668784549e-16
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	PP.H3.abf	0.00998875826861151
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	PP.H4.abf	0.987145141747937
