SNP	Gene	GeneID-Tissue	Trait	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	cond.PP.H4.abf
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Aorta	DBP	3.90784269848004e-15	0.0656175841571295	6.35731025931571e-16	0.00975008958913663	0.924632326253727	0.989565204327672
rs1063281	ENSG00000231672	ENSG00000231672.6_Artery_Tibial	DBP	1.95760016192397e-16	0.00326832085564867	5.77297930942605e-16	0.00865022418232476	0.988081454962025	0.991321411405575
rs1063281	RPL7L1P9	ENSG00000231035.1_Artery_Tibial	DBP	1.52012998448109e-15	0.0253794039672203	5.6059896798709e-16	0.00839327997437102	0.96622731605841	0.991388156572377
rs1063281	TNS1	ENSG00000079308.16_Esophagus_Muscularis	DBP	1.71024758936264e-16	0.00286609998345073	6.54949668784549e-16	0.00998875826861151	0.987145141747937	0.989982530662686
rs11636952	CPLX3	ENSG00000213578.5_Esophagus_Mucosa	DBP	5.48259627135355e-96	0.00015938238937306	1.88854893650801e-94	0.0044947801366257	0.995345837474001	0.995504503360378
rs11636952	CSK	ENSG00000103653.16_Adipose_Subcutaneous	DBP	3.96018819423236e-95	0.00115069699411338	5.7267894631674e-94	0.0156569244491845	0.983192378556691	0.984325038419642
rs11636952	CSK	ENSG00000103653.16_Artery_Aorta	DBP	3.46384424290251e-93	0.101778890715223	3.57581615658079e-94	0.00961829577363185	0.888602813511132	0.989291839532372
rs11636952	CSK	ENSG00000103653.16_Heart_Left_Ventricle	DBP	2.51894353414231e-94	0.00737238302158689	4.28742627884224e-94	0.0115672752108213	0.981060341767579	0.988346813031424
rs11636952	CSK	ENSG00000103653.16_Lung	DBP	2.64590612657021e-95	0.00077220882172718	3.51480985855314e-94	0.00926802766927536	0.989959763508997	0.990724809947143
rs11636952	CSK	ENSG00000103653.16_Muscle_Skeletal	DBP	2.16532226517186e-92	0.631275970795062	2.27267124285054e-94	0.00626326311901243	0.362460766085918	0.983013683343291
rs11636952	CSK	ENSG00000103653.16_Thyroid	DBP	4.19459049022718e-93	0.122054134090956	9.35236441879702e-94	0.0263619126562211	0.851583953252811	0.969973191195649
rs11636952	CYP1A1	ENSG00000140465.13_Adipose_Subcutaneous	DBP	3.68713278602562e-94	0.0107135631078235	4.17305617916283e-94	0.0111473533580179	0.978139083534154	0.988731925413799
rs11636952	CYP1A1	ENSG00000140465.13_Adipose_Visceral_Omentum	DBP	1.87639633652646e-93	0.0546071004635264	5.04656454681788e-94	0.0137549318064302	0.931637967730039	0.985450565777282
rs11636952	CYP1A1	ENSG00000140465.13_Artery_Tibial	DBP	5.35932167878454e-93	0.15590155922121	4.7228607724408e-94	0.0129075133814506	0.831190927397348	0.984708521236526
rs11636952	CYP1A1	ENSG00000140465.13_Breast_Mammary_Tissue	DBP	6.29641733663963e-93	0.183698347702843	4.77475825770072e-94	0.0131272109782764	0.803174441318873	0.983918676458225
rs11636952	CYP1A1	ENSG00000140465.13_Lung	DBP	1.50418957553301e-93	0.0438998363589844	6.06085428546402e-94	0.0167492779717157	0.9393508856693	0.982481670217552
rs11636952	CYP1A1	ENSG00000140465.13_Muscle_Skeletal	DBP	1.06654085569158e-95	0.00031093829537464	5.71457608593936e-94	0.0156762073094018	0.984012854395212	0.984318916841331
rs11636952	CYP1A1	ENSG00000140465.13_Nerve_Tibial	DBP	1.55618660448124e-92	0.452652388634288	2.66982746910001e-94	0.00722568056132273	0.540121930804399	0.98679873555437
rs11636952	EDC3	ENSG00000179151.11_Adipose_Subcutaneous	DBP	1.79849904450017e-93	0.0522583105377722	4.22593684139722e-94	0.0113427468509925	0.936398942611224	0.988031816076985
rs11636952	FAM219B	ENSG00000178761.14_Adipose_Subcutaneous	DBP	5.19115740228848e-95	0.00150837508870981	1.53239778327398e-92	0.444709280043789	0.553782344867488	0.554618918227477
rs11636952	FAM219B	ENSG00000178761.14_Esophagus_Mucosa	DBP	5.78935667000842e-94	0.016830009968453	3.20949294397353e-93	0.0924111420706337	0.890758847960927	0.906006954028705
rs11636952	FAM219B	ENSG00000178761.14_Esophagus_Muscularis	DBP	3.21651961879089e-92	0.939246775737144	3.41793816506279e-95	0.00093824745765022	0.0598149768052058	0.984556417062068
rs11636952	FAM219B	ENSG00000178761.14_Muscle_Skeletal	DBP	6.52392058264656e-93	0.190197753260216	1.79525178446242e-94	0.00442848602674975	0.805373760713047	0.994531398196809
rs11636952	LMAN1L	ENSG00000140506.16_Esophagus_Mucosa	DBP	1.69149788085558e-96	4.91728663806357e-05	1.79436097845494e-94	0.00422058564224828	0.995730241491361	0.995779206809252
rs11636952	MPI	ENSG00000178802.17_Adipose_Subcutaneous	DBP	3.35862718898979e-94	0.00975903674564428	5.36278056174476e-93	0.154989046571879	0.83525191668248	0.843483503184399
rs11636952	MPI	ENSG00000178802.17_Adipose_Visceral_Omentum	DBP	4.98245580313866e-95	0.00144999997762059	1.44574152202736e-92	0.420162961688572	0.5783870383338	0.579226917351001
rs11636952	MPI	ENSG00000178802.17_Artery_Aorta	DBP	6.6561515185458e-93	0.195579151510107	4.06374233525458e-94	0.0111473091783489	0.793273539311546	0.986142441236729
rs11636952	MPI	ENSG00000178802.17_Artery_Tibial	DBP	1.01271374069916e-93	0.0294596332675352	7.62286003121921e-94	0.0212254272353672	0.949314939497098	0.978130299405446
rs11636952	MPI	ENSG00000178802.17_Breast_Mammary_Tissue	DBP	1.38139521446957e-93	0.0403022869761212	2.23266610963713e-94	0.00555967852791387	0.954138034495957	0.994206844038009
