SNP	Gene	GeneID-Tissue	Trait	PPID	PP
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	PP.H0.abf	1.47674184799356e-13
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	PP.H1.abf	0.0692910034664248
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	PP.H2.abf	1.7976151387041e-13
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	PP.H3.abf	0.0834996634642856
rs10057188	SCAMP1	ENSG00000085365.17_Whole_Blood	PP	PP.H4.abf	0.847209333068963
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	PP.H0.abf	2.45469306453021e-85
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	PP.H1.abf	0.843822882053661
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	PP.H2.abf	5.92286057597704e-88
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	PP.H3.abf	0.00188174137011142
rs10260816	ENSG00000272556	ENSG00000272556.2_Thyroid	PP	PP.H4.abf	0.154295376576217
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	PP.H0.abf	1.86213781928127e-86
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	PP.H1.abf	0.0638611863040523
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	PP.H2.abf	3.36072751723827e-87
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	PP.H3.abf	0.0105999262996188
rs10260816	IGFBP3	ENSG00000146674.14_Artery_Aorta	PP	PP.H4.abf	0.925538887396334
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	PP.H0.abf	6.68511547512435e-89
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	PP.H1.abf	0.000231073179571108
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	PP.H2.abf	3.30001352879894e-87
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	PP.H3.abf	0.010417251869366
rs10260816	IGFBP3	ENSG00000146674.14_Heart_Left_Ventricle	PP	PP.H4.abf	0.989351674951068
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	PP.H0.abf	1.96243143279354e-86
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	PP.H1.abf	0.0676357263647278
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	PP.H2.abf	3.00823131387409e-87
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	PP.H3.abf	0.00944503076990812
rs10260816	IGFBP3	ENSG00000146674.14_Lung	PP	PP.H4.abf	0.922919242865363
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	PP.H0.abf	4.74266807812296e-87
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	PP.H1.abf	0.0163576777407902
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	PP.H2.abf	9.57594786222109e-88
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	PP.H3.abf	0.00232146708217355
rs10260816	IGFBP3	ENSG00000146674.14_Muscle_Skeletal	PP	PP.H4.abf	0.981320855177047
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	PP.H0.abf	2.60607515800407e-86
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	PP.H1.abf	0.0895861842138828
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	PP.H2.abf	1.87165895780655e-87
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	PP.H3.abf	0.0055291117854959
rs10260816	IGFBP3	ENSG00000146674.14_Thyroid	PP	PP.H4.abf	0.90488470400063
rs10260816	SEPTIN7P2	ENSG00000214765.8_Muscle_Skeletal	PP	PP.H0.abf	1.5784068855773e-87
