statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
4625__CONTROL_SNP_INDIV	33.8633002456463	5.91235175145143e-09	1.09128369443136e-06	1	101	5	4	0.478453374925765
4621__CONTROL_SNP_INDIV	0.663435351694716	0.415349748384697	0.672945119006807	1	101	5	4	0.123627941579556
4627__CONTROL_SNP_INDIV	12.3474269213293	0.000441594696088475	0.0117588718536202	1	101	5	4	0.462044484884357
4620__CONTROL_SNP_INDIV	13.599652647581	0.000226227381025821	0.00729299548127506	1	101	5	4	0.499346258337865
4634__CONTROL_SNP_INDIV	0.469617927921263	0.493162992081284	0.733857115968397	1	39	5	4	-0.359943832829872
4623__CONTROL_SNP_INDIV	0.511178136732269	0.474629294002794	0.718078808927934	1	101	5	4	0.0704191116426901
4636__CONTROL_SNP_INDIV	0.526317137051592	0.468159340277613	0.713010686763651	1	101	5	4	0.066247075504427
4630__CONTROL_SNP_INDIV	4.72968932904587	0.0296462397194551	0.159498099118459	1	101	5	4	-0.195327966900802
4629__CONTROL_SNP_INDIV	-0.00128158528787026	1	1	1	101	5	4	-0.00197535724869326
4628__CONTROL_SNP_INDIV	40.475339423956	1.99113334359032e-10	4.77772445794497e-08	1	100	5	4	0.618797573640346
4622__CONTROL_SNP_INDIV	0.303527170788584	0.581679604412433	0.790354613015101	1	101	5	4	0.0683656388032293
4632__CONTROL_SNP_INDIV	4.69471507800745	0.0302555148513606	0.160793151463654	1	50	5	4	-1.00285967187593
4624__CONTROL_SNP_INDIV	1.59315338536362	0.206876180981417	0.476255023994204	1	101	5	4	0.113291006940503
4626__CONTROL_SNP_INDIV	1.65453454536691	0.198342877215461	0.464986175161264	1	94	5	4	-0.239035106304411
4635__CONTROL_SNP_INDIV	20.4488275458689	6.12470647573434e-06	0.000466547085349986	1	100	5	4	0.645590889819705
4639__CONTROL_SNP_INDIV	5.09071213937568	0.0240543119537875	0.140116230246411	1	101	5	4	0.166412495277776
4633__CONTROL_SNP_INDIV	0.0139181736219598	0.906087221503914	0.958622701939436	1	31	5	4	0.0570725415442607
4638__CONTROL_SNP_INDIV	4.45163143436002	0.0348679211868724	0.173414353602993	1	101	5	4	0.211190590970458
4637__CONTROL_SNP_INDIV	1.97425368659424	0.159997080077764	0.411941745675536	1	101	5	4	-0.105687357960925
4640__CONTROL_SNP_INDIV	0.0247945604442066	0.874880055703592	0.943918477365454	1	101	5	4	-0.0140033769796449
4631__CONTROL_SNP_INDIV	29.7943265055728	4.80395771778711e-08	7.20443533989385e-06	1	101	5	4	0.65081652159972
2460__WILDTYPE_SNP_INDIV	0.0734620551033913	0.786361156618046	0.899532035014245	1	26	5	4	0.0598658214751814
1163__WILDTYPE_SNP_INDIV	0.000241496427406673	0.987601249041097	0.993526699728288	1	26	5	4	0.00419194510190042
1115__WILDTYPE_SNP_INDIV	0.440260727971236	0.506996639920638	0.742086064850204	1	26	5	4	0.293848133423418
1079__WILDTYPE_SNP_INDIV	4.30264040422549	0.038053249586135	0.182994063682773	1	17	5	4	-1.07787722218047
4308__WILDTYPE_SNP_INDIV	6.86693374027698	0.00878051806824002	0.0778156769264253	1	10	5	4	-1.88587421900037
2263__WILDTYPE_SNP_INDIV	2.3795679357163	0.122931542797641	0.35752039392064	1	24	5	4	1.03219066971264
3635__WILDTYPE_SNP_INDIV	0.0268048107867571	0.869950196091515	0.941988039495302	1	25	5	4	-0.102044570168466
4060__WILDTYPE_SNP_INDIV	1.14581170157589	0.284427626545988	0.557357362104613	1	21	5	4	0.493175140662766
1713__WILDTYPE_SNP_INDIV	5.98231004502907	0.0144500636532955	0.105710145536837	1	19	5	4	-1.25612589436904
2759__WILDTYPE_SNP_INDIV	9.66981053641166	0.00187320629482951	0.0290425675080833	1	26	5	4	0.96494062028413
339__WILDTYPE_SNP_INDIV	0.798939645950895	0.371410587142887	0.634983757641152	1	18	5	4	-0.515640434958521
3992__WILDTYPE_SNP_INDIV	1.80143013044244	0.179539695197325	0.438255848042706	1	25	5	4	0.42087521567123
4289__WILDTYPE_SNP_INDIV	0.457699857291203	0.498700914363126	0.737986147062625	1	5	5	4	1.01254000211495
3723__WILDTYPE_SNP_INDIV	0.367478400124128	0.544381974631453	0.765710980583305	1	16	5	4	-0.598241500794942
1329__WILDTYPE_SNP_INDIV	2.39327826145939	0.121857847783191	0.355498973563244	1	22	5	4	0.946572723935164
1679__WILDTYPE_SNP_INDIV	0.115628893256485	0.73382453196766	0.875165298563629	1	24	5	4	-0.124729421563463
3343__WILDTYPE_SNP_INDIV	0.965021166286135	0.325925032485325	0.597566742143409	1	14	5	4	1.00940572767222
2667__WILDTYPE_SNP_INDIV	0.0060769146742814	0.937864192434638	0.972727525285028	1	17	5	4	-0.051032567972564
4472__WILDTYPE_SNP_INDIV	8.13277826430613	0.004347208295075	0.0508835429464999	1	26	5	4	0.505505943577294
809__WILDTYPE_SNP_INDIV	1.49737627200284	0.221075507060435	0.494150609400572	1	25	5	4	-0.450835671791612
3289__WILDTYPE_SNP_INDIV	0.0405215751977721	0.840464225520028	0.9254193568492	1	26	5	4	0.0619737198576191
4150__WILDTYPE_SNP_INDIV	11.5887677117978	0.00066351365274119	0.0151187711443459	1	12	5	4	3.55963519118342
3282__WILDTYPE_SNP_INDIV	0.177728093535279	0.673332994844424	0.841455115588124	1	26	5	4	0.167126058486642
190__WILDTYPE_SNP_INDIV	3.07730055622517	0.0793921951546362	0.282015651034122	1	24	5	4	0.771568547209621
2109__WILDTYPE_SNP_INDIV	3.56319884920407	0.0590737952970819	0.236733951441398	1	11	5	4	-2.39236777092981
