statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
4625__CONTROL_SNP_INDIV	443.728165307793	1.67132707366437e-98	2.67746597201032e-95	1	101	5	4	0.990102842984629
4621__CONTROL_SNP_INDIV	18.5239281514587	1.67784601747459e-05	0.000133319647520313	1	101	5	4	0.210510594279293
4627__CONTROL_SNP_INDIV	72.2580537197155	1.88818525829144e-17	2.11037636077875e-15	1	101	5	4	0.447188102403063
4620__CONTROL_SNP_INDIV	42.5573654329928	6.86393145823764e-11	2.49909504456743e-09	1	101	5	4	0.316654194645723
4634__CONTROL_SNP_INDIV	51.2758188317007	8.02581863567271e-13	4.10341323011096e-11	1	39	5	4	-1.39534911630984
4623__CONTROL_SNP_INDIV	41.0759362129538	1.46428098539407e-10	4.85333407986476e-09	1	101	5	4	0.269906531370525
4636__CONTROL_SNP_INDIV	10.7016654746894	0.00107039133277099	0.00450464163336022	1	101	5	4	-0.148627338193912
4630__CONTROL_SNP_INDIV	144.695317543406	2.50364397263306e-33	8.02167528831633e-31	1	101	5	4	-0.575131192944982
4629__CONTROL_SNP_INDIV	46.7210090837216	8.18468325471957e-12	3.57596252019838e-10	1	101	5	4	-0.305729380256876
4628__CONTROL_SNP_INDIV	203.201856251217	4.1796720423593e-46	1.70562255903585e-43	1	100	5	4	0.781610606069225
4622__CONTROL_SNP_INDIV	18.9382346125294	1.35019354316621e-05	0.000112656773757931	1	101	5	4	-0.249469038237674
4632__CONTROL_SNP_INDIV	30.3601428432121	3.58825773270492e-08	6.73639322788276e-07	1	50	5	4	0.902215003986168
4624__CONTROL_SNP_INDIV	116.012721901428	4.72257328108668e-27	1.03166759949557e-24	1	101	5	4	-0.526514737634013
4626__CONTROL_SNP_INDIV	137.825178660728	7.95834306766776e-32	2.24987039901243e-29	1	94	5	4	-0.823851186760113
4635__CONTROL_SNP_INDIV	138.108635639035	6.89971044247656e-32	2.0725005241589e-29	1	100	5	4	0.635770450099593
4639__CONTROL_SNP_INDIV	3.59857956057931	0.057828962206347	0.121602532525397	1	101	5	4	0.0731268985301129
4633__CONTROL_SNP_INDIV	0.872923135221072	0.350147330413932	0.486782779858072	1	31	5	4	-0.209468579765944
4638__CONTROL_SNP_INDIV	1.94480533307069	0.163147727066688	0.27434848715273	1	101	5	4	-0.0665974792148088
4637__CONTROL_SNP_INDIV	42.0022749841664	9.11672907652348e-11	3.23498855124479e-09	1	101	5	4	-0.302116372490846
4640__CONTROL_SNP_INDIV	15.9768366566714	6.41222606118421e-05	0.000427422447296134	1	101	5	4	-0.184170584591795
4631__CONTROL_SNP_INDIV	96.5269957659366	8.80352559974941e-23	1.62729784739983e-20	1	101	5	4	0.520073715408368
2460__WILDTYPE_SNP_INDIV	0.00226976770591136	0.962001495773278	0.975808186721481	1	26	5	4	-0.00408383020415529
1163__WILDTYPE_SNP_INDIV	1.35009117432628	0.2452621782227	0.373643888309923	1	26	5	4	-0.130725714409049
1115__WILDTYPE_SNP_INDIV	1.96616334157056	0.160855691171988	0.271682684441095	1	26	5	4	-0.199032145469598
2812__WILDTYPE_SNP_INDIV	0.0180147428912676	0.893229393392037	0.932034280046069	1	9	5	4	-0.0680221262225934
1079__WILDTYPE_SNP_INDIV	8.16989594521363	0.00425913501849969	0.014343853124482	1	17	5	4	-0.753282467683294
4308__WILDTYPE_SNP_INDIV	14.1903269083058	0.00016521767227424	0.0009427225858534	1	10	5	4	-1.30027078907685
2263__WILDTYPE_SNP_INDIV	0.351893815099174	0.553043040127826	0.678215067837288	1	24	5	4	-0.100075128691722
3635__WILDTYPE_SNP_INDIV	2.61286474789244	0.106000119892052	0.196617744577848	1	25	5	4	-0.228976389518339
4060__WILDTYPE_SNP_INDIV	7.80806203590498	0.00520136546607672	0.0169685652068513	1	21	5	4	0.460113261031939
1713__WILDTYPE_SNP_INDIV	2.43735197510534	0.118476075338379	0.214542584052845	1	19	5	4	0.216534697404392
2759__WILDTYPE_SNP_INDIV	29.3103213894719	6.16663539396312e-08	1.0362534861324e-06	1	26	5	4	0.7625212627276
339__WILDTYPE_SNP_INDIV	7.55255417959995	0.00599250757916294	0.0190854813952665	1	18	5	4	0.548071093249242
3992__WILDTYPE_SNP_INDIV	20.0059679821466	7.72008419406886e-06	6.89641721871653e-05	1	25	5	4	0.49251647366825
4289__WILDTYPE_SNP_INDIV	0.0384768709222953	0.844488675193032	0.901513232558355	1	5	5	4	-0.204858100550003
3723__WILDTYPE_SNP_INDIV	1.50517629920523	0.219876618335616	0.342648193165036	1	16	5	4	0.208492059084654
1329__WILDTYPE_SNP_INDIV	1.02836683886653	0.310542559121586	0.446178636513705	1	22	5	4	-0.177595157481534
1679__WILDTYPE_SNP_INDIV	4.05627504124595	0.0440074733251872	0.0980982916516	1	24	5	4	-0.248372267343757
3343__WILDTYPE_SNP_INDIV	0.798820178433573	0.371446351019321	0.509006493887989	1	14	5	4	-0.256947239736975
2667__WILDTYPE_SNP_INDIV	13.8763273977974	0.00019524223734065	0.00108729338662707	1	17	5	4	-0.75159406554459
4472__WILDTYPE_SNP_INDIV	6.62905428722706	0.0100328517517472	0.02906442767866	1	26	5	4	0.194961621279843
809__WILDTYPE_SNP_INDIV	0.000946363591538102	0.975458529728229	0.984698263063337	1	25	5	4	-0.00396126149009498
3289__WILDTYPE_SNP_INDIV	1.01374345910517	0.314007689358281	0.449946617488341	1	26	5	4	0.112006416704698
4150__WILDTYPE_SNP_INDIV	3.69138332203443	0.0546942371188846	0.116516180670815	1	12	5	4	0.500431722346343
3282__WILDTYPE_SNP_INDIV	4.30057997511631	0.0380993781000443	0.0872930708737913	1	26	5	4	-0.25126082044838
190__WILDTYPE_SNP_INDIV	0.0860864788851359	0.769212623817256	0.84418657813592	1	24	5	4	0.0376717818515887
2109__WILDTYPE_SNP_INDIV	2.14591996284076	0.142949324854651	0.247662024243493	1	11	5	4	-0.438697172535316
1117__WILDTYPE_SNP_INDIV	0.85810018436905	0.354270888112693	0.490811729106256	1	26	5	4	0.0979417887663723
2405__WILDTYPE_SNP_INDIV	7.27478332560713	0.00699293278954335	0.021766862037918	1	25	5	4	0.307920830079417
189__WILDTYPE_SNP_INDIV	20.2578776095947	6.76742318019602e-06	6.14824873421967e-05	1	26	5	4	-0.364308320226126
2619__WILDTYPE_SNP_INDIV	0.235743686618207	0.627297292989942	0.736572389472187	1	24	5	4	0.0686837960842373
236__WILDTYPE_SNP_INDIV	0.31206757181053	0.576414203431397	0.697549416818122	1	26	5	4	0.0581781528999172
584__WILDTYPE_SNP_INDIV	23.7578645482135	1.09248058356833e-06	1.28060041088522e-05	1	26	5	4	0.386899606048365
602__WILDTYPE_SNP_INDIV	6.48519953598816	0.0108776328035728	0.0311504552691148	1	25	5	4	0.244422422136452
672__WILDTYPE_SNP_INDIV	12.2977337233069	0.000453508626814941	0.00220380430785906	1	26	5	4	0.476599403156172
174__WILDTYPE_SNP_INDIV	50.5913035260801	1.13747952268196e-12	5.52194604647425e-11	1	26	5	4	0.617537985908397
1661__WILDTYPE_SNP_INDIV	0.439078615129347	0.507567504140767	0.635749133411656	1	23	5	4	0.0618276655706991
448__WILDTYPE_SNP_INDIV	21.3711438327032	3.78424128653287e-06	3.70408627761242e-05	1	26	5	4	-0.535556952172866
44__WILDTYPE_SNP_INDIV	7.18788208720161	0.00733975626489443	0.0227085620488917	1	26	5	4	-0.239101409332979
883__WILDTYPE_SNP_INDIV	2.19294971771126	0.138643579966981	0.241946639550222	1	15	5	4	-0.561674007551485
3706__WILDTYPE_SNP_INDIV	1.22096148864375	0.269172042000333	0.40111203776114	1	19	5	4	0.207332557040026
36__WILDTYPE_SNP_INDIV	7.79496907750649	0.0052391907153292	0.0170708817477099	1	24	5	4	0.372039295967985
1409__WILDTYPE_SNP_INDIV	1.86857414805309	0.171638473466988	0.284594219147977	1	26	5	4	0.190201777051149
1871__WILDTYPE_SNP_INDIV	3.52304045530991	0.0605213266932924	0.1256981400553	1	26	5	4	-0.161932544669319
3__WILDTYPE_SNP_INDIV	1.2548347761869	0.262631066283426	0.393946599425139	1	10	5	4	0.22936559194499
4531__WILDTYPE_SNP_INDIV	3.50654126392192	0.0611269437184912	0.126489666998238	1	26	5	4	-0.22453757702047
991__WILDTYPE_SNP_INDIV	1.93586520819827	0.164118187500092	0.27540223782313	1	26	5	4	0.135133676373312
3870__WILDTYPE_SNP_INDIV	0.599923007046982	0.438607403887477	0.573301595039414	1	16	5	4	0.178441902035334
191__WILDTYPE_SNP_INDIV	0.0220910220380119	0.881845214065986	0.925561934658469	1	25	5	4	0.0171301187290819
2993__WILDTYPE_SNP_INDIV	0.00098655591887109	0.974942974778816	0.984698263063337	1	22	5	4	-0.0057837984836866
4011__WILDTYPE_SNP_INDIV	0.0974104651995731	0.754959589432584	0.834912500317861	1	23	5	4	0.0443695636549502
4333__WILDTYPE_SNP_INDIV	57.5679197706918	3.26507656189611e-14	2.30764087595187e-12	1	26	5	4	0.609871973567193
4505__WILDTYPE_SNP_INDIV	0.00605695030481002	0.937966136937683	0.958316646945733	1	26	5	4	0.00881123826956271
1512__WILDTYPE_SNP_INDIV	0.27394143330207	0.600699996295855	0.715252072774195	1	23	5	4	0.0683804783264269
3133__WILDTYPE_SNP_INDIV	0.00605466020897438	0.937977841704688	0.958316646945733	1	23	5	4	-0.0126062092595663
1800__WILDTYPE_SNP_INDIV	13.3120504668993	0.000263705823836557	0.00140351073018659	1	18	5	4	0.764287131549176
2942__WILDTYPE_SNP_INDIV	13.8171235189197	0.000201491472277475	0.0011150462393608	1	26	5	4	0.381264409189367
1422__WILDTYPE_SNP_INDIV	41.4935651020191	1.18259554678922e-10	4.08888791213598e-09	1	26	5	4	-0.831939495140177
2684__WILDTYPE_SNP_INDIV	41.1047095247377	1.44288246060669e-10	4.83442767448553e-09	1	26	5	4	-0.702839753327666
1930__WILDTYPE_SNP_INDIV	0.573711099269758	0.448787981441315	0.583412236626173	1	20	5	4	0.168175420201677
2733__WILDTYPE_SNP_INDIV	7.40558035366814	0.00650218643082754	0.0203845453271736	1	17	5	4	-0.546790644111942
2243__WILDTYPE_SNP_INDIV	1.22881105332544	0.267638384538953	0.399734913065908	1	26	5	4	-0.0869031329075267
294__WILDTYPE_SNP_INDIV	3.22195530241379	0.0726567932177994	0.146287619691975	1	26	5	4	0.179522087550811
1577__WILDTYPE_SNP_INDIV	0.191590197996788	0.661596392051191	0.762521567117405	1	12	5	4	0.124488237868475
4221__WILDTYPE_SNP_INDIV	3.10110634171451	0.0782391074266778	0.154702347126559	1	26	5	4	-0.166370651097562
