snp	SNP.PP.H4.abf
rs111835543	0.0214154987966878
rs116405725	0.148231200094163
rs139236208	4.34485806199344e-05
rs141159691	0.141054997599401
rs148488413	0.00465553017728133
rs148872264	0.0104239822419797
rs55667322	0.00254398237903319
rs55734403	0.0434243765299889
rs56076114	0.0467165818640836
rs74630370	0.00862996361269399
rs74996579	0.16187542903963
rs75442785	0.139777328290575
rs76817733	0.00931363774047308
rs77238694	0.0540682078302392
rs77246720	0.0119511274759564
rs78188636	0.0279098714418886
rs78227451	0.0416670678878433
rs78411832	0.0779296400596273
rs78429923	0.00991809898160877
rs79085867	0.0384500293762238
