Chr	Pos	rsID	MAF	P_min	Trait
7	106410777	rs12705390		2.9E-63	PP
12	111932800	rs7137828		5.2E-42	DBP
4	81181072	rs10857147		6.15E-40	SBP
11	130273230	rs11222084		1.25E-35	PP
1	11885647	rs56153133		6.25E-32	SBP
3	41869475	rs56377114		8.07E-32	PP
7	46010100	rs10260816		2.12E-29	PP
7	46010100	rs10260816		2.12E-29	PP
8	120458928	rs79253921		2.51E-27	PP
5	32830521	rs1173727		3.11E-26	SBP
10	104879855	rs529049131		7.31E-26	SBP
20	57739469	rs6026739		9.56E-26	DBP
15	75114322	rs11636952		1.23E-25	DBP
10	63463481	rs151225441		5.53E-25	DBP
11	100573120	rs1216743		2.12E-23	DBP
19	11526765	rs167479		3.59E-23	DBP
15	91437388	rs2521501		2.31E-22	SBP
12	20164705	rs7973748		9.91E-22	DBP
5	32714270	rs1421811		2.15E-21	SBP
17	45055107	rs80335285		1.68E-20	PP
7	150690176	rs3918226		2.93E-20	DBP
10	63524591	rs1530440		3.78E-20	DBP
12	90046518	rs11431123		4.63E-20	SBP
19	7256245	rs77431689		1.44E-19	SBP
7	92243672	rs42377		2.38E-19	PP
4	103188709	rs13107325		3.25E-19	DBP
10	18725053	rs6482423		6.92E-19	SBP
1	11854476	rs1801131		3.27E-18	SBP
6	127197741	rs77491205		4.61E-18	SBP
1	11896856	rs55892892		9.43E-18	SBP
15	48915884	rs2118181		1.11E-17	PP
1	113181739	rs61818802		1.22E-17	DBP
7	19049388	rs2107595		4.33E-17	PP
2	165047905	rs13021222		8.62E-17	SBP
3	169113110	rs2421647		1.22E-16	DBP
2	19709427	rs79380229		4.72E-16	PP
2	26915624	rs12476527		4.19E-15	SBP
6	26118537	rs2307823		1.87E-14	DBP
4	54801228	rs60991988		2.16E-14	PP
6	32662473	rs1794519		3.63E-14	DBP
11	1905292	rs661348		3.82E-14	SBP
12	115552437	rs35444		1.9E-13	SBP
11	61272565	rs7125196		2.49E-13	DBP
11	47378245	rs3824869		2.72E-13	DBP
6	12903957	rs9349379		2.93E-13	PP
10	18418804	rs7901551		3.32E-13	SBP
1	10790536	rs284278		5.76E-13	SBP
5	157804457	rs9313772		9.42E-13	DBP
14	23861811	rs365990		1.42E-12	PP
16	20367690	rs12917707		2.15E-12	DBP
10	115781527	rs2782980		2.94E-12	DBP
1	113064468	rs6668533		4.06E-12	DBP
3	48115978	rs59476975		6.41E-12	DBP
10	115798895	rs2773469		7.77E-12	DBP
2	164963486	rs1446468		9.4E-12	SBP
6	79701972	rs6454092		1.1E-11	DBP
4	156645513	rs13139571		1.18E-11	DBP
9	136522274	rs6271		1.25E-11	DBP
6	150992370	rs62434120		1.54E-11	DBP
20	10965998	rs1887320		2.37E-11	DBP
3	48182326	rs6442105		2.54E-11	DBP
2	183211443	rs12693302		1.15E-10	DBP
6	31754008	rs140091914		2.42E-10	PP
10	64552934	rs1848797		3.07E-10	DBP
12	54445218	rs11413924		3.11E-10	SBP
11	16286396	rs113144535		5.52E-10	DBP
10	95895127	rs2901761		8.06E-10	SBP
5	148392846	rs150267260		8.92E-10	DBP
12	26,438,189	rs6487543	0.77	6.30E-10	SBP
6	22,130,601	rs6911827	0.45	2E-10	SBP
14	53,377,540	rs9888615	0.29	3.5E-10	SBP
1	217,718,789	rs12408022	0.26	2.4E-10	DBP
2	179,786,068	rs79146658	0.91	2.4E-10	DBP
3	50,476,378	rs743757	0.14	2.4E-10	DBP
3	56,726,646	rs9827472	0.37	4.3E-10	DBP
6	51,832,494	rs13205180	0.49	7E-10	DBP
9	21,801,530	rs4364717	0.55	1.3E-10	DBP
15	66,869,072	rs7178615	0.37	2.6E-10	DBP
16	4,943,019	rs12921187	0.43	2.5E-10	DBP
1	9,441,949	rs9662255	0.43	1.9E-10	PP
6	121,781,390	rs11154027	0.47	1.1E-10	PP
12	94,880,742	rs139236208	0.1	1.6E-10	PP
17	7,571,752	rs78378222	0.99	1.8E-10	PP
2	37,517,566	rs13420463	0.77	7E-11	SBP
3	134,000,025	rs9859176	0.4	1.3E-11	SBP
2	25,139,596	rs55701159	0.89	7.2E-11	DBP
5	173,377,636	rs72812846	0.28	2.2E-11	DBP
6	118,572,486	rs9372498	0.08	1.8E-11	DBP
20	8,626,271	rs6108168	0.25	1.1E-11	DBP
5	77,837,789	rs10057188	0.46	6.7E-11	PP
14	98,587,630	rs9323988	0.63	4.1E-11	PP
22	42,038,786	rs73161324	0.05	2.8E-11	PP
1	1,685,921	rs139385870	0.5	1.3E-12	SBP
1	15,798,197	rs3820068	0.81	1.1E-12	SBP
5	127,868,199	rs6595838	0.3	7.6E-12	SBP
7	131,059,056	rs13238550	0.4	1.9E-12	SBP
15	81,013,037	rs35199222	0.45	5.2E-12	SBP
16	75,331,044	rs11643209	0.42	1.8E-12	SBP
2	96,675,166	rs2579519	0.63	4.8E-12	DBP
2	191,439,591	rs7592578	0.19	9.5E-12	DBP
2	218,668,732	rs1063281	0.6	1.3E-12	DBP
11	69,079,707	rs67330701	0.09	2.1E-12	DBP
15	79,070,000	rs62012628	0.29	5.1E-12	DBP
1	56,576,924	rs112557609	0.35	6.8E-12	PP
2	20,881,840	rs2289081	0.36	5.5E-12	PP
2	46,363,336	rs11690961	0.88	3.9E-12	PP
7	40,447,971	rs76206723	0.1	7.4E-12	PP
16	70,755,610	rs117006983	0.01	4.1E-12	PP
17	60,767,151	rs740698	0.56	3.1E-12	PP
22	19,967,980	rs12628032	0.3	5.5E-12	PP
2	65,283,972	rs74181299	0.62	9.6E-13	PP
4	169,717,148	rs1566497	0.42	1.9E-13	PP
11	117,283,676	rs8258	0.38	2.9E-13	PP
20	19,465,907	rs6081613	0.28	1.6E-13	PP
4	106,911,742	rs13112725	0.76	1.5E-14	SBP
3	154,707,967	rs143112823	0.09	1.4E-14	DBP
15	95,312,071	rs12906962	0.68	5.6E-14	DBP
17	61,559,625	rs4308	0.37	6.8E-14	DBP
9	127,900,996	rs72765298	0.87	2.7E-14	PP
17	6,473,828	rs7226020	0.56	2.3E-14	PP
1	89,360,158	rs10922502	0.62	2.2E-15	SBP
2	145,646,072	rs1438896	0.3	2E-15	DBP
4	120,509,279	rs66887589	0.52	3.4E-15	DBP
6	159,699,125	rs449789	0.14	2.4E-15	PP
10	30,317,073	rs9337951	0.34	2.5E-15	PP
2	208,526,140	rs55780018	0.54	5.9E-16	SBP
1	228,191,075	rs2760061	0.47	2.1E-16	DBP
1	243,471,192	rs953492	0.46	7.4E-16	DBP
1	38,455,891	rs4360494	0.55	3.7E-16	PP
8	141,060,027	rs4454254	0.63	5.1E-16	PP
6	169,587,103	rs1322639	0.78	4.8E-17	PP
10	102,604,514	rs112184198	0.1	3.6E-18	SBP
2	43,167,878	rs76326501	0.91	3.6E-18	DBP
6	152,397,912	rs36083386	0.11	1.5E-18	PP
18	43,097,750	rs7236548	0.18	2E-18	PP
2	216,300,482	rs1250259	0.74	8.7E-19	PP
16	83,045,790	rs7500448	0.75	1.1E-19	PP
11	89,224,453	rs2289125	0.21	9.1E-22	PP
1	59,653,742	rs3889199	0.71	1.8E-24	PP

