snp	SNP.PP.H4.row1	SNP.PP.H4.row2
rs10922500	9.62247873726677e-213	7.62789517243889e-151
rs10922501	2.09259028662064e-219	1.48650684467687e-146
rs10922502	1.00910823549903e-209	7.008694971422e-148
rs10922503	5.04822681036327e-209	3.33834305662467e-148
rs10922504	7.6376481099228e-210	5.30467833066833e-148
rs10922528	4.17058224600374e-19	9.90950178837051e-29
rs11585503	2.1207582072536e-64	1.68751541641432e-54
rs12122700	4.511851006902e-76	1.70423815377026e-64
rs12138645	4.57895338994181e-23	5.43892332149636e-25
rs12141262	3.52352743839237e-25	2.14818480460146e-23
rs12238994	3.21914721220121e-226	2.70509897486135e-153
rs12732490	7.85842843107817e-25	1.93146449615009e-23
rs2038905	1.37989777981732e-18	3.27870275906218e-28
rs2765524	3.46954066299789e-35	1
rs305221	0	1.5902614936875e-188
rs34220649	7.80098911216779e-145	5.01398335639743e-105
rs34726720	1.93804068025325e-143	9.04189291563989e-88
rs35492837	0	9.34730971332551e-198
rs35594043	1.89419746185569e-30	2.63434991765874e-19
rs4142614	5.950639742873e-211	7.73268007274914e-119
rs4142615	2.90280820992333e-207	8.80507196368467e-123
rs4284240	1.07027171664545e-163	5.96856000743422e-104
rs4655888	1.39799943971335e-220	2.17176047330426e-144
rs4656069	1	2.29804012270094e-26
rs6658204	0	2.57453978160307e-187
rs6658267	4.94594146289324e-29	8.67815246551428e-27
rs6670565	0	2.48838294156235e-187
rs6677967	0	6.11098037277282e-189
rs6679817	1.45293217755485e-310	8.11701979259179e-236
rs6692335	2.82383756748743e-27	3.3866142903624e-21
rs786919	0	9.19256947766548e-190
rs9787246	1.23057013606095e-74	1.31694595281648e-65
